Mã HP,Tên HP,Điểm,Số TC
CS100,Tin đại cương,7.5,2
CS102,Công dân số,7.0,2
CS121,Ngôn ngữ lập trình,6.3,3
CS122,Lập trình hướng đối tượng,6.8,3
EC102,Nhập môn kinh tế học,7.0,2
GE101,Tiếng Anh sơ cấp 1,7.6,2
GE102,Tiếng Anh sơ cấp 2,8.2,2
GE103,Tiếng Anh sơ cấp 3,7.0,2
GE201,Tiếng Anh sơ trung cấp 1,6.5,2
GE202,Tiếng Anh sơ trung cấp 2,7.3,2
GE205,Tiếng Anh sơ trung cấp 3,6.6,2
GE231,Tiếng Anh trung cấp 1,7.0,2
GF101,Tiếng Pháp 1,7.5,2
GF102,Tiếng Pháp 2,0.0,2
GZ101,Tiếng Trung 1,6.5,2
IS325,Cơ sở dữ liệu phân tán,0.0,2
MA101,"Logic, suy luận toán học và kỹ thuật đếm",9.5,3
MA104,Số và cấu trúc đại số,9.0,3
MA239,Xác suất thống kê,4.3,4
MI322,Trí tuệ nhân tạo và công nghệ tri thức,0.0,3
ML113,Triết học Mác - Lênin,9.9,3
ML114,Kinh tế chính trị Mác - Lênin,8.8,2
ML115,Chủ nghĩa xã hội khoa học,7.1,2
ML202,Tư tưởng Hồ Chí Minh,6.9,2
ML204,Lịch sử Đảng,6.5,2
NA151,Khoa học môi trường,8.6,2
PG100,Giáo dục thể chất,8.5,4
PG121,Giáo dục quốc phòng,5.5,4
SH131,Pháp luật đại cương,9.0,2
VL101,Tiếng Việt thực hành,7.7,2
AD218,Hát - Nhạc,0.0,4
AD312,Bóng đá,10.0,4
AD314,Nhảy hiện đại,8.6,4
CF212,Cấu trúc dữ liệu,5.0,3
CS110,Kỹ thuật số,8.0,2
CS212,Kiến trúc máy tính,5.2,3
CS315,Nguyên lý hệ điều hành,9.0,3
IS222,Cơ sở dữ liệu,7.0,3
IS314,Hệ thống thông tin,8.6,3
IS322,Hệ quản trị cơ sở dữ liệu,5.0,3
IS332,Phân tích thiết kế hướng đối tượng,7.7,3
IS334,Quản lý dự án hệ thống thông tin,0.0,3
IT333,Công nghệ Web,0.0,3
MA110,Giải tích 1,8.8,3
MA111,Giải tích 2,5.7,3
MA120,Đại số tuyến tính,7.5,3
MI201,Toán rời rạc,7.7,3
NW212,Mạng máy tính,5.3,2
SE302,Công nghệ phần mềm,0.0,2
