Mã HP,Tên HP,Điểm,Số TC
CS100,Tin đại cương,7.5,2
CS102,Công dân số,5.8,2
CS121,Ngôn ngữ lập trình,8.5,3
CS122,Lập trình hướng đối tượng,7.6,3
EC102,Nhập môn kinh tế học,8.2,2
GE101,Tiếng Anh sơ cấp 1,8.0,2
GE102,Tiếng Anh sơ cấp 2,7.8,2
GE103,Tiếng Anh sơ cấp 3,6.2,2
GE121,Tiếng Anh sơ trung cấp 1,0.0,2
GE201,Tiếng Anh sơ trung cấp 1,-1.0,2
GE222,Tiếng Anh sơ trung cấp 2,0.0,2
GJ101,Tiếng Nhật 1,9.2,2
GJ102,Tiếng Nhật 2,0.0,2
IS314,Hệ thống thông tin,0.0,3
IS325,Cơ sở dữ liệu phân tán,-1.0,2
IS330,Dữ liệu lớn,0.0,2
MA101,"Logic, suy luận toán học và kỹ thuật đếm",8.6,3
MA104,Số và cấu trúc đại số,5.2,3
MA239,Xác suất thống kê,6.8,4
MI322,Trí tuệ nhân tạo và công nghệ tri thức,0.0,3
ML113,Triết học Mác - Lênin,9.9,3
ML114,Kinh tế chính trị Mác - Lênin,8.3,2
ML115,Chủ nghĩa xã hội khoa học,7.8,2
ML202,Tư tưởng Hồ Chí Minh,9.2,2
ML204,Lịch sử Đảng,7.3,2
NA151,Khoa học môi trường,8.7,2
PG106,GDTC: Bóng bàn cơ bản,6.7,1
PG113,GDTC: Bóng rổ cơ bản,6.5,1
PG115,GDTC: Bóng chuyền cơ bản,-1.0,1
PG118,GDTC: Thể dục cơ bản,0.0,1
PG121,Giáo dục quốc phòng,7.4,4
SH131,Pháp luật đại cương,9.2,2
VL101,Tiếng Việt thực hành,7.3,2
AD216,Kỹ năng sống,9.6,3
CF212,Cấu trúc dữ liệu,8.0,3
CF301,Ngôn ngữ hình thức và Otomat,0.0,3
CS110,Kỹ thuật số,7.9,2
CS212,Kiến trúc máy tính,7.0,3
CS315,Nguyên lý hệ điều hành,7.8,3
CS321,Nhập môn khoa học dữ liệu,7.9,2
CS425,Một số vấn đề hiện đại trong khoa học máy tính,0.0,2
IM206,ứng dụng Excel,-1.0,2
IS222,Cơ sở dữ liệu,6.5,3
IS322,Hệ quản trị cơ sở dữ liệu,6.0,3
IS332,Phân tích thiết kế hướng đối tượng,7.2,3
MA110,Giải tích 1,5.4,3
MA111,Giải tích 2,-1.0,3
MA120,Đại số tuyến tính,7.2,3
MI201,Toán rời rạc,0.0,3
NW212,Mạng máy tính,7.3,2
SE302,Công nghệ phần mềm,0.0,2
