Mã HP,Tên HP,Điểm,Số TC
CS100,Tin đại cương,6.4,2
CS121,Ngôn ngữ lập trình,-1.0,3
GE100,Tiếng Anh cho người mới bắt đầu,6.8,2
GE101A,Tiếng Anh sơ cấp 1,-1.0,2
IM001,Kỹ năng CNTT cơ bản,0.0,0
MA101A,"Logic, suy luận toán học và kỹ thuật đếm",5.0,3
MA103,Số và cấu trúc đại số,-1.0,2
ML111,Triết học Mác – Lênin,-1.0,2
PG118,GDTC: Thể dục cơ bản,-1.0,1
PG122,GDQP: Đường lối quân sự của Đảng,0.0,1
PG123,GDQP: Công tác quốc phòng - an ninh,0.0,1
PG124,GDQP: Quân sự chung,8.0,1
PG125,GDQP: Kỹ thuật bắn súng,5.0,1
SH131,Pháp luật đại cương,7.3,2
VL101,Tiếng Việt thực hành,7.3,2
