Mã HP,Tên HP,Điểm,Số TC
CS100,Tin đại cương,5.0,2
CS101,Công dân số,2.9,2
CS110,Kỹ thuật số,1.2,2
CS121,Ngôn ngữ lập trình,-1.0,3
EC102,Nhập môn kinh tế học,-1.0,2
GE101,Tiếng Anh sơ cấp 1,-1.0,2
GJ101,Tiếng Nhật 1,1.6,2
GZ101,Tiếng Trung 1,-1.0,2
MA101,"Logic, suy luận toán học và kỹ thuật đếm",4.7,3
MA110,Giải tích 1,-1.0,3
MA120,Đại số tuyến tính,4.2,3
MA230,Xác suất,-1.0,3
ML113,Triết học Mác - Lênin,2.9,3
ML114,Kinh tế chính trị Mác - Lênin,2.6,2
ML115,Chủ nghĩa xã hội khoa học,2.8,2
NA151,Khoa học môi trường,8.9,2
PG102,GDTC: Thể dục cổ truyền cơ bản,1.2,1
PG118,GDTC: Thể dục cơ bản,1.5,1
PG122,GDQP: Đường lối quân sự của Đảng,5.0,1
PG123,GDQP: Công tác quốc phòng - an ninh,5.0,1
PG124,GDQP: Quân sự chung,5.0,1
PG125,GDQP: Kỹ thuật bắn súng,-1.0,1
SH131,Pháp luật đại cương,6.7,2
VL101,Tiếng Việt thực hành,7.0,2
AI220,Các công cụ lập trình trí tuệ nhân tạo,-1.0,3
CS320,Học máy,-1.0,3
