Mã HP,Tên HP,Điểm,Số TC
CS100A,Nhập môn khoa học máy tính,5.9,2
CS121,Ngôn ngữ lập trình,2.8,3
CS122,Lập trình hướng đối tượng,0.0,3
EC102,Nhập môn kinh tế học,4.0,2
GE100,Tiếng Anh cho người mới bắt đầu,5.9,2
GE101A,Tiếng Anh sơ cấp 1,5.6,2
GE102A,Tiếng Anh sơ cấp 2,5.0,2
GE201A,Tiếng Anh sơ trung cấp 1,5.2,2
ML111,Triết học Mác – Lênin,5.4,2
ML112,Kinh tế chính trị và CNXH khoa học,0.0,3
NA151,Khoa học môi trường,5.0,2
PG101,GDTC: Lý thuyết,2.0,1
PG102,GDTC: Thể dục cổ truyền cơ bản,2.0,1
PG122,GDQP: Đường lối quân sự của Đảng,6.0,1
PG123,GDQP: Công tác quốc phòng - an ninh,2.0,1
PG124,GDQP: Quân sự chung,9.0,1
PG125,GDQP: Kỹ thuật bắn súng,9.0,1
SH131,Pháp luật đại cương,4.0,2
CS110,Kỹ thuật số,3.3,2
CS210B,Thực hành điện tử số,6.0,2
CS211,Vi điều khiển và ứng dụng,2.6,3
MA120A,Đại số tuyến tính 1,0.0,2
PE201,Tiếng Anh trong tin học 1A,5.2,2
PE302,Tiếng Anh trong tin học 1B,5.6,2
TC311,Kỹ thuật truyền tin,2.5,3
TC313A,Kỹ thuật truyền dẫn quang,0.0,2
