Mã HP,Tên HP,Điểm,Số TC
CF320,Tín hiệu và hệ thống,6.7,3
CS100,Tin đại cương,5.0,2
CS121,Ngôn ngữ lập trình,5.4,3
CS122,Lập trình hướng đối tượng,6.1,3
EC102,Nhập môn kinh tế học,8.3,2
GE100A,Tiếng Anh cho người mới bắt đầu,4.5,0
GJ101,Tiếng Nhật 1,6.0,2
GJ102,Tiếng Nhật 2,6.0,2
MA101A,"Logic, suy luận toán học và kỹ thuật đếm",8.4,3
MA103,Số và cấu trúc đại số,5.9,2
MA300,Toán chuyên ngành truyền thông dữ liệu,7.4,3
ML111,Triết học Mác – Lênin,7.7,2
ML112,Kinh tế chính trị và CNXH khoa học,5.0,3
ML202,Tư tưởng Hồ Chí Minh,7.3,2
ML203,Đường lối cách mạng của Đảng CS Việt Nam,7.3,3
NA151,Khoa học môi trường,6.2,2
PG100,Giáo dục thể chất,8.7,4
PG121,Giáo dục quốc phòng,6.6,4
SH131,Pháp luật đại cương,5.2,2
TC300,Mô hình hóa và mô phỏng,7.4,3
TC303,Thiết kế và quản trị truyền thông,6.1,3
TC313,Kỹ thuật truyền dẫn,4.5,3
TC316,An ninh mạng truyền thông,8.0,3
TC420,Thiết kế hệ thống mạng truyền thông,8.0,2
TC423,Mạng không dây đa bước,8.0,2
TC424,Quản lý dự án truyền thông và mạng máy tính,7.0,3
TC427,Báo hiệu và điều khiển,8.5,2
TC473,Quản lý mạng viễn thông,6.7,3
VL101,Tiếng Việt thực hành,5.9,2
AD204,Ẩm thực Việt nam,8.3,4
AD212,Phương pháp hùng biện và các thủ thuật tranh biện,8.0,3
CF212,Cấu trúc dữ liệu,4.1,3
CF231,Lý thuyết thông tin và mã hóa,5.1,2
CF321,Xử lý tín hiệu số,7.3,3
CS110,Kỹ thuật số,7.0,2
CS212,Kiến trúc máy tính,5.4,3
CS315,Nguyên lý hệ điều hành,7.2,3
IP402,TT ngành Truyền thông và mạng máy tính,8.0,2
IS222,Cơ sở dữ liệu,5.0,3
MA110,Giải tích 1,6.0,3
MA111,Giải tích 2,5.0,3
MA120,Đại số tuyến tính,5.0,3
MA231,Xác suất thống kê ứng dụng,5.4,4
MI201,Toán rời rạc,5.7,3
NW212,Mạng máy tính,6.1,2
SM201,Phương pháp luận nghiên cứu khoa học,8.0,3
TC314,Kỹ thuật kết nối mạng,5.0,3
TC487,CĐTN : Truyền thông và mạng máy tính,9.1,6
