Mã HP,Tên HP,Điểm,Số TC
CS100,Tin đại cương,7.1,2
CS102,Công dân số,7.3,2
CS121,Ngôn ngữ lập trình,6.9,3
CS122,Lập trình hướng đối tượng,8.5,3
EC102,Nhập môn kinh tế học,3.7,2
GE101,Tiếng Anh sơ cấp 1,10.0,2
GE102,Tiếng Anh sơ cấp 2,8.3,2
GE103,Tiếng Anh sơ cấp 3,6.5,2
GE201,Tiếng Anh sơ trung cấp 1,7.5,2
GE202,Tiếng Anh sơ trung cấp 2,8.3,2
GE205,Tiếng Anh sơ trung cấp 3,6.8,2
GE301,Tiếng Anh trung cấp 1,7.5,2
GE303,Tiếng Anh trung cấp 2,7.0,2
GE333,Tiếng Anh trung cấp 3,6.9,2
GF101,Tiếng Pháp 1,4.6,2
GF102,Tiếng Pháp 2,6.3,2
IS317,Hạ tầng công nghệ thông tin,8.5,2
IS325,Cơ sở dữ liệu phân tán,4.9,2
MA101,"Logic, suy luận toán học và kỹ thuật đếm",7.2,3
MA104,Số và cấu trúc đại số,7.5,3
ML113,Triết học Mác - Lênin,8.2,3
ML114,Kinh tế chính trị Mác - Lênin,8.1,2
ML115,Chủ nghĩa xã hội khoa học,8.8,2
ML202,Tư tưởng Hồ Chí Minh,8.8,2
ML204,Lịch sử Đảng,9.1,2
NA151,Khoa học môi trường,8.4,2
PG102,GDTC: Thể dục cổ truyền cơ bản,3.0,1
PG113,GDTC: Bóng rổ cơ bản,9.3,1
PG118,GDTC: Thể dục cơ bản,8.6,1
PG120,Thể dục cơ bản nâng cao,5.9,1
PG121,Giáo dục quốc phòng,6.3,4
SH131,Pháp luật đại cương,8.7,2
VL101,Tiếng Việt thực hành,8.7,2
AD216,Kỹ năng sống,8.5,3
AD240,Nhiếp ảnh cơ bản,9.0,3
AD241,Dẫn chương trình (MC),9.5,3
CF212,Cấu trúc dữ liệu,6.1,3
CS110,Kỹ thuật số,8.2,2
CS212,Kiến trúc máy tính,4.1,3
CS315,Nguyên lý hệ điều hành,8.7,3
IP408,Thực tập tốt nghiệp ngành Hệ thống thông tin,0.0,3
IS222,Cơ sở dữ liệu,6.0,3
IS314,Hệ thống thông tin,7.8,3
IS315,Mô hình hóa quy trình nghiệp vụ,8.6,2
IS322,Hệ quản trị cơ sở dữ liệu,7.4,3
IS326,Khai phá dữ liệu,7.5,3
IS327,Kho dữ liệu,5.2,3
IS332,Phân tích thiết kế hướng đối tượng,6.6,3
IS334,Quản lý dự án hệ thống thông tin,7.5,3
IS383,Hệ thống thông tin nâng cao,8.3,2
IS484,CĐTN: Cơ sở dữ liệu,0.0,6
MA110,Giải tích 1,3.1,3
MA111,Giải tích 2,3.4,3
MA120,Đại số tuyến tính,7.6,3
MA231,Xác suất thống kê ứng dụng,4.2,4
MI201,Toán rời rạc,7.5,3
NW212,Mạng máy tính,4.6,2
SE302,Công nghệ phần mềm,8.5,2
