Mã HP,Tên HP,Điểm,Số TC
AD204A,Ẩm thực Việt Nam,8.4,3
CS100,Tin đại cương,-1.0,2
CS121,Ngôn ngữ lập trình,1.2,3
CS122,Lập trình hướng đối tượng,-1.0,3
EC102,Nhập môn kinh tế học,5.0,2
GE100A,Tiếng Anh cho người mới bắt đầu,4.5,0
GE101,Tiếng Anh sơ cấp 1,3.6,2
GE102,Tiếng Anh sơ cấp 2,-1.0,2
GJ101,Tiếng Nhật 1,-1.0,2
GZ101,Tiếng Trung 1,2.8,2
GZ102,Tiếng Trung 2,-1.0,2
MA101A,"Logic, suy luận toán học và kỹ thuật đếm",4.3,3
MA103,Số và cấu trúc đại số,2.8,2
ML111,Triết học Mác – Lênin,5.8,2
ML112,Kinh tế chính trị và CNXH khoa học,3.5,3
ML202,Tư tưởng Hồ Chí Minh,6.6,2
ML203,Đường lối cách mạng của Đảng CS Việt Nam,7.3,3
NA151,Khoa học môi trường,6.3,2
PG110,GDTC: Bơi cơ bản,2.7,1
PG113,GDTC: Bóng rổ cơ bản,6.4,1
PG115,GDTC: Bóng chuyền cơ bản,6.3,1
PG118,GDTC: Thể dục cơ bản,10.0,1
PG121,Giáo dục quốc phòng,5.7,4
SH131,Pháp luật đại cương,5.0,2
VL101,Tiếng Việt thực hành,6.3,2
AD314,Nhảy hiện đại,-1.0,4
CS110,Kỹ thuật số,7.0,2
CS315,Nguyên lý hệ điều hành,-1.0,3
IS222,Cơ sở dữ liệu,4.4,3
MA110,Giải tích 1,2.2,3
MI201,Toán rời rạc,2.0,3
NW212,Mạng máy tính,-1.0,2
SM201,Phương pháp luận nghiên cứu khoa học,-1.0,3
