Mã HP,Tên HP,Điểm,Số TC
CS100,Tin đại cương,4.3,2
CS110,Kỹ thuật số,5.6,2
CS121,Ngôn ngữ lập trình,5.8,3
CS122,Lập trình hướng đối tượng,0.0,3
CS212,Kiến trúc máy tính,5.9,3
EC102,Nhập môn kinh tế học,4.3,2
GE111,Tiếng Anh sơ cấp 1,6.0,2
GE112,Tiếng Anh sơ cấp 2,4.5,2
GE121,Tiếng Anh sơ trung cấp 1,4.0,2
GE222,Tiếng Anh sơ trung cấp 2,0.0,2
GE231,Tiếng Anh trung cấp 1,-1.0,2
GZ101,Tiếng Trung 1,4.6,2
GZ102,Tiếng Trung 2,0.0,2
IS222,Cơ sở dữ liệu,0.0,3
MA101,"Logic, suy luận toán học và kỹ thuật đếm",6.5,3
MA104,Số và cấu trúc đại số,0.0,3
MA110,Giải tích 1,-1.0,3
MA120,Đại số tuyến tính,4.5,3
ML113,Triết học Mác - Lênin,7.7,3
ML114,Kinh tế chính trị Mác - Lênin,7.5,2
ML115,Chủ nghĩa xã hội khoa học,-1.0,2
ML204,Lịch sử Đảng,-1.0,2
NA151,Khoa học môi trường,-1.0,2
SH131,Pháp luật đại cương,-1.0,2
VL101,Tiếng Việt thực hành,6.8,2
