Mã HP,Tên HP,Điểm,Số TC
CF212,Cấu trúc dữ liệu,10.0,3
CS100,Tin đại cương,7.6,2
CS102,Công dân số,6.8,2
CS110,Kỹ thuật số,5.6,2
CS121,Ngôn ngữ lập trình,9.0,3
CS122,Lập trình hướng đối tượng,10.0,3
CS212,Kiến trúc máy tính,1.9,3
EC102,Nhập môn kinh tế học,7.1,2
GE101,Tiếng Anh sơ cấp 1,10.0,2
GE102,Tiếng Anh sơ cấp 2,10.0,2
GE103,Tiếng Anh sơ cấp 3,8.0,2
GE201,Tiếng Anh sơ trung cấp 1,7.9,2
GE202,Tiếng Anh sơ trung cấp 2,9.1,2
GE205,Tiếng Anh sơ trung cấp 3,7.9,2
GE301,Tiếng Anh trung cấp 1,8.8,2
GE303,Tiếng Anh trung cấp 2,7.8,2
GE305,Tiếng Anh trung cấp 3,8.9,2
GJ101,Tiếng Nhật 1,8.2,2
GJ102,Tiếng Nhật 2,7.2,2
GZ101,Tiếng Trung 1,8.0,2
IP405,Thực tập ngành Trí tuệ nhân tạo,0.0,3
IS222,Cơ sở dữ liệu,5.0,3
IT320,Phát triển ứng dụng với Python,8.5,3
MA101,"Logic, suy luận toán học và kỹ thuật đếm",5.4,3
MA110,Giải tích 1,3.1,3
MA111,Giải tích 2,3.6,3
MA120,Đại số tuyến tính,3.2,3
MA230,Xác suất,2.0,3
MA234,Thống Kê,-1.0,2
MA239,Xác suất thống kê,7.4,4
MI201,Toán rời rạc,6.4,3
MI322,Trí tuệ nhân tạo và công nghệ tri thức,8.2,3
ML113,Triết học Mác - Lênin,7.8,3
ML114,Kinh tế chính trị Mác - Lênin,7.0,2
ML115,Chủ nghĩa xã hội khoa học,8.1,2
ML202,Tư tưởng Hồ Chí Minh,8.4,2
ML204,Lịch sử Đảng,7.0,2
NA151,Khoa học môi trường,8.5,2
NW212,Mạng máy tính,2.5,2
PG122,GDQP: Đường lối quân sự của Đảng,9.0,1
PG123,GDQP: Công tác quốc phòng - an ninh,7.0,1
PG124,GDQP: Quân sự chung,-1.0,1
PG125,GDQP: Kỹ thuật bắn súng,-1.0,1
SH131,Pháp luật đại cương,7.3,2
VL101,Tiếng Việt thực hành,7.2,2
AI220,Các công cụ lập trình trí tuệ nhân tạo,9.0,3
AI310,Học sâu,9.0,3
AI320,Xử lý ngôn ngữ tự nhiên,8.7,3
AI321,Thị giác máy tính,9.5,3
CF211,Phân tích và thiết kế thuật toán,5.3,2
CS224,Lập trình .Net,8.0,3
CS320,Học máy,4.6,3
CS321,Nhập môn khoa học dữ liệu,8.2,2
IS314,Hệ thống thông tin,8.5,3
IS326,Khai phá dữ liệu,6.6,3
IS330,Dữ liệu lớn,8.3,2
MA238,Thống kê nâng cao,7.1,3
MI302,Tối ưu hóa,4.1,2
