Mã HP,Tên HP,Điểm,Số TC
CS100,Tin đại cương,4.7,2
CS102,Công dân số,4.7,2
CS110,Kỹ thuật số,5.0,2
CS121,Ngôn ngữ lập trình,8.9,3
CS122,Lập trình hướng đối tượng,4.6,3
CS212,Kiến trúc máy tính,0.0,3
GE111,Tiếng Anh sơ cấp 1,7.1,2
GE112,Tiếng Anh sơ cấp 2,5.7,2
GE121,Tiếng Anh sơ trung cấp 1,6.0,2
GE222,Tiếng Anh sơ trung cấp 2,5.5,2
GE231,Tiếng Anh trung cấp 1,0.0,2
GF101,Tiếng Pháp 1,7.7,2
GF102,Tiếng Pháp 2,0.0,2
IS222,Cơ sở dữ liệu,5.5,3
MA101,"Logic, suy luận toán học và kỹ thuật đếm",8.4,3
MA104,Số và cấu trúc đại số,5.9,3
MA110,Giải tích 1,5.0,3
MA111,Giải tích 2,0.0,3
MA120,Đại số tuyến tính,7.2,3
MI201,Toán rời rạc,0.0,3
ML113,Triết học Mác - Lênin,8.6,3
ML114,Kinh tế chính trị Mác - Lênin,8.4,2
ML115,Chủ nghĩa xã hội khoa học,9.0,2
ML202,Tư tưởng Hồ Chí Minh,0.0,2
ML204,Lịch sử Đảng,8.8,2
NA151,Khoa học môi trường,8.8,2
PG113,GDTC: Bóng rổ cơ bản,7.3,1
PG115,GDTC: Bóng chuyền cơ bản,0.0,1
PG118,GDTC: Thể dục cơ bản,6.6,1
SH131,Pháp luật đại cương,7.3,2
VL101,Tiếng Việt thực hành,6.8,2
