Mã HP,Tên HP,Điểm,Số TC
CS100,Tin đại cương,8.9,2
CS121,Ngôn ngữ lập trình,2.7,3
GE101,Tiếng Anh sơ cấp 1,10.0,2
GE102,Tiếng Anh sơ cấp 2,8.0,2
GE103,Tiếng Anh sơ cấp 3,7.3,2
GE201,Tiếng Anh sơ trung cấp 1,2.9,2
MA101,"Logic, suy luận toán học và kỹ thuật đếm",9.7,3
ML113,Triết học Mác - Lênin,7.4,3
PG122,GDQP: Đường lối quân sự của Đảng,6.0,1
PG123,GDQP: Công tác quốc phòng - an ninh,6.0,1
PG124,GDQP: Quân sự chung,-1.0,1
PG125,GDQP: Kỹ thuật bắn súng,-1.0,1
SH131,Pháp luật đại cương,7.3,2
CS110,Kỹ thuật số,2.3,2
MA120,Đại số tuyến tính,2.7,3
