Mã HP,Tên HP,Điểm,Số TC
CS100,Tin đại cương,6.2,2
CS121,Ngôn ngữ lập trình,6.6,3
GE101,Tiếng Anh sơ cấp 1,7.0,2
GE102,Tiếng Anh sơ cấp 2,6.5,2
GE103,Tiếng Anh sơ cấp 3,5.0,2
IM001,Kỹ năng CNTT cơ bản,5.0,0
MA103,Số và cấu trúc đại số,5.4,2
ML111,Triết học Mác – Lênin,8.0,2
ML112,Kinh tế chính trị và CNXH khoa học,7.2,3
NA151,Khoa học môi trường,8.1,2
PG113,GDTC: Bóng rổ cơ bản,8.1,1
PG121,Giáo dục quốc phòng,6.2,4
SH131,Pháp luật đại cương,6.2,2
VL101,Tiếng Việt thực hành,6.4,2
MA120,Đại số tuyến tính,5.4,3
