Mã HP,Tên HP,Điểm,Số TC
CS100,Tin đại cương,4.3,2
CS121,Ngôn ngữ lập trình,-1.0,3
GE100,Tiếng Anh cho người mới bắt đầu,6.6,2
GE101A,Tiếng Anh sơ cấp 1,6.4,2
GE102A,Tiếng Anh sơ cấp 2,-1.0,2
IM001,Kỹ năng CNTT cơ bản,0.0,0
MA101A,"Logic, suy luận toán học và kỹ thuật đếm",-1.0,3
ML111,Triết học Mác – Lênin,-1.0,2
PG122,GDQP: Đường lối quân sự của Đảng,-1.0,1
PG123,GDQP: Công tác quốc phòng - an ninh,-1.0,1
PG124,GDQP: Quân sự chung,6.0,1
PG125,GDQP: Kỹ thuật bắn súng,0.0,1
SH131,Pháp luật đại cương,-1.0,2
VL101,Tiếng Việt thực hành,4.3,2
MA120,Đại số tuyến tính,-1.0,3
