Mã HP,Tên HP,Điểm,Số TC
CS100A,Nhập môn khoa học máy tính,8.3,2
CS121,Ngôn ngữ lập trình,7.7,3
CS122,Lập trình hướng đối tượng,5.3,3
CS212A,Kiến trúc máy tính 1,6.0,2
CS311A,Hợp ngữ,7.0,2
EC101,Kinh tế học đại cương,5.0,3
GE100,Tiếng Anh cho người mới bắt đầu,5.9,2
GE101A,Tiếng Anh sơ cấp 1,5.9,2
GE102A,Tiếng Anh sơ cấp 2,5.6,2
GE201A,Tiếng Anh sơ trung cấp 1,6.7,2
GE202A,Tiếng Anh sơ trung cấp 2,6.4,2
GF101,Tiếng Pháp 1,9.0,2
GF102,Tiếng Pháp 2,8.8,2
IS223A,Cơ sở dữ liệu 2,8.8,2
IS314,Hệ thống thông tin,6.0,3
IS322E,Hệ quản trị cơ sở dữ liệu,8.0,4
IS424B,Lập trình cơ sở dữ liệu 2,5.0,4
MA100A,Toán 1,5.5,2
MA110A,Giải tích 1A,6.0,2
MA111A,Giải tích 2A,7.0,2
MA120A,Đại số tuyến tính 1,5.0,2
ML111,Triết học Mác – Lênin,5.0,2
ML112,Kinh tế chính trị và CNXH khoa học,6.0,3
ML202,Tư tưởng Hồ Chí Minh,6.0,2
ML203,Đường lối cách mạng của Đảng CS Việt Nam,8.0,3
NA151,Khoa học môi trường,6.9,2
NW312A,Thiết kế quản trị mạng,6.6,4
PG100,Giáo dục thể chất,7.0,4
PG121,Giáo dục quốc phòng,6.7,4
SH131,Pháp luật đại cương,5.2,2
AC201,Nguyên lý kế toán,0.0,3
AD211,Văn hóa Hà Nội,5.7,2
BK201,Ngân hàng thương mại 1,0.0,3
CF201,Lý thuyết thuật toán,6.0,3
CF212A,Cấu trúc dữ liệu 1,0.0,2
CS110,Kỹ thuật số,7.0,2
CS224,Lập trình .Net,9.5,3
CS315,Nguyên lý hệ điều hành,5.0,3
CS316,Hệ điều hành Unix,6.0,3
CS324,Kỹ thuật lập trình,8.0,2
EC202,Kinh tế vi mô,3.2,2
EC203,Kinh tế vĩ mô,0.0,2
FN201,Tài chính tiền tệ căn bản,0.0,3
FN211D,Nhập môn tài chính doanh nghiệp,0.0,2
IS222,Cơ sở dữ liệu,5.0,3
IS332,Phân tích thiết kế hướng đối tượng,7.2,3
IS333,Phân tích thiết kế hệ thống thông tin,5.0,2
MA212,Phương trình vi phân,5.0,2
MA231,Xác suất thống kê ứng dụng,2.0,4
MI201,Toán rời rạc,6.3,3
MI414,Giao diện người máy,5.5,2
NW212,Mạng máy tính,5.5,2
NW332A,An toàn mạng,6.0,4
PE201,Tiếng Anh trong tin học 1A,6.2,2
PE302,Tiếng Anh trong tin học 1B,5.0,2
SE302,Công nghệ phần mềm,8.0,2
