Mã HP,Tên HP,Điểm,Số TC
CS100,Tin đại cương,1.5,2
CS110,Kỹ thuật số,-1.0,2
CS121,Ngôn ngữ lập trình,0.0,3
CS122,Lập trình hướng đối tượng,2.3,3
GE111,Tiếng Anh sơ cấp 1,10.0,2
GE112,Tiếng Anh sơ cấp 2,7.9,2
GE121,Tiếng Anh sơ trung cấp 1,7.2,2
GE222,Tiếng Anh sơ trung cấp 2,7.3,2
GE231,Tiếng Anh trung cấp 1,0.0,2
GJ101,Tiếng Nhật 1,0.0,2
IS222,Cơ sở dữ liệu,0.0,3
MA101,"Logic, suy luận toán học và kỹ thuật đếm",1.9,3
MA104,Số và cấu trúc đại số,0.0,3
ML113,Triết học Mác - Lênin,8.8,3
ML114,Kinh tế chính trị Mác - Lênin,7.9,2
ML115,Chủ nghĩa xã hội khoa học,0.0,2
ML202,Tư tưởng Hồ Chí Minh,0.0,2
ML204,Lịch sử Đảng,6.8,2
PG102,GDTC: Thể dục cổ truyền cơ bản,8.0,1
PG113,GDTC: Bóng rổ cơ bản,10.0,1
SH131,Pháp luật đại cương,-1.0,2
VL101,Tiếng Việt thực hành,7.3,2
AD214,Nâng cao chất lượng giọng hát,9.0,3
AD314,Nhảy hiện đại,8.3,4
CS314,Lập trình ứng dụng di động,-1.0,2
