Mã HP,Tên HP,Điểm,Số TC
CS100A,Nhập môn khoa học máy tính,6.6,2
CS121,Ngôn ngữ lập trình,8.2,3
CS122,Lập trình hướng đối tượng,7.5,3
CS212A,Kiến trúc máy tính 1,8.0,2
CS212B,Kiến trúc máy tính 2,5.5,2
EC101,Kinh tế học đại cương,6.1,3
FN201A,Lý thuyết tài chính tiền tệ,7.2,2
GE100,Tiếng Anh cho người mới bắt đầu,5.9,2
GE101A,Tiếng Anh sơ cấp 1,6.1,2
GE102A,Tiếng Anh sơ cấp 2,5.0,2
GE201A,Tiếng Anh sơ trung cấp 1,5.0,2
GE202,Tiếng Anh sơ trung cấp 2,6.2,2
GF101,Tiếng Pháp 1,10.0,2
GF102,Tiếng Pháp 2,6.8,2
MA100A,Toán 1,6.0,2
MA110A,Giải tích 1A,5.5,2
MA111A,Giải tích 2A,0.0,2
MA120A,Đại số tuyến tính 1,5.6,2
ML111,Triết học Mác – Lênin,5.6,2
ML112,Kinh tế chính trị và CNXH khoa học,6.7,3
ML202,Tư tưởng Hồ Chí Minh,6.0,2
ML203,Đường lối cách mạng của Đảng CS Việt Nam,7.0,3
NA151,Khoa học môi trường,5.0,2
PG100,Giáo dục thể chất,6.9,4
PG121,Giáo dục quốc phòng,5.5,4
SH131,Pháp luật đại cương,5.0,2
AC201,Nguyên lý kế toán,6.5,3
AC210,Kế toán doanh nghiệp,5.0,3
AD211,Văn hóa Hà Nội,7.0,2
AD213,Hát – Nhạc,9.5,3
BA101,Quản trị học,5.0,2
BK201,Ngân hàng thương mại 1,-1.0,3
CF201,Lý thuyết thuật toán,7.0,3
CF212A,Cấu trúc dữ liệu 1,0.0,2
CS110,Kỹ thuật số,7.1,2
CS212A,Kiến trúc máy tính 1,8.0,2
CS212B,Kiến trúc máy tính 2,5.5,2
CS223,Lập trình Java,7.0,3
CS224,Lập trình .Net,10.0,3
CS315,Nguyên lý hệ điều hành,7.0,3
CS316,Hệ điều hành Unix,5.0,3
CS324,Kỹ thuật lập trình,9.0,2
CS499,KLTN ngành Khoa học máy tính,9.7,6
EC202,Kinh tế vi mô,7.8,2
EC203,Kinh tế vĩ mô,7.8,2
FN211D,Nhập môn tài chính doanh nghiệp,5.0,2
FN221,Tài chính công,7.1,2
IS222,Cơ sở dữ liệu,9.5,3
IS322,Hệ quản trị cơ sở dữ liệu,7.5,3
IS332,Phân tích thiết kế hướng đối tượng,7.5,3
IS333,Phân tích thiết kế hệ thống thông tin,8.5,2
IS424A,Lập trình cơ sở dữ liệu 1,3.8,4
MA110A,Giải tích 1A,5.5,2
MA111A,Giải tích 2A,0.0,2
MA120A,Đại số tuyến tính 1,5.6,2
MA212,Phương trình vi phân,1.8,2
MA231,Xác suất thống kê ứng dụng,5.0,4
MI201,Toán rời rạc,6.0,3
MI312,Đồ họa,7.0,2
MK201,Nguyên lý marketing,6.6,2
NW212,Mạng máy tính,5.0,2
PE201,Tiếng Anh trong tin học 1A,7.5,2
PE302,Tiếng Anh trong tin học 1B,6.4,2
PE303,Tiếng Anh trong tin học 2A,5.2,2
PE404,Tiếng Anh trong tin học 2B,6.2,2
SE302,Công nghệ phần mềm,7.7,2
SE487,CĐTN: Phát triển phần mềm,-1.0,6
