Mã HP,Tên HP,Điểm,Số TC
CS100,Tin đại cương,5.7,2
CS102,Công dân số,-1.0,2
CS110,Kỹ thuật số,6.1,2
CS121,Ngôn ngữ lập trình,2.8,3
CS122,Lập trình hướng đối tượng,2.1,3
CS212,Kiến trúc máy tính,6.6,3
EC101,Kinh tế học đại cương,-1.0,3
EC102,Nhập môn kinh tế học,3.6,2
GE101,Tiếng Anh sơ cấp 1,6.7,2
GE102,Tiếng Anh sơ cấp 2,5.8,2
GE103,Tiếng Anh sơ cấp 3,4.0,2
GF101,Tiếng Pháp 1,-1.0,2
GZ101,Tiếng Trung 1,-1.0,2
IS222,Cơ sở dữ liệu,1.2,3
MA101,"Logic, suy luận toán học và kỹ thuật đếm",6.3,3
MA104,Số và cấu trúc đại số,2.7,3
MA110,Giải tích 1,5.0,3
MA111,Giải tích 2,5.8,3
MA120,Đại số tuyến tính,5.7,3
MI201,Toán rời rạc,7.0,3
MI322,Trí tuệ nhân tạo và công nghệ tri thức,9.0,3
ML111,Triết học Mác – Lênin,5.8,2
ML112,Kinh tế chính trị và CNXH khoa học,5.2,3
ML113,Triết học Mác - Lênin,-1.0,3
ML202,Tư tưởng Hồ Chí Minh,5.0,2
ML204,Lịch sử Đảng,2.4,2
NA151,Khoa học môi trường,6.9,2
NW212,Mạng máy tính,-1.0,2
PG102,GDTC: Thể dục cổ truyền cơ bản,6.7,1
PG106,GDTC: Bóng bàn cơ bản,-1.0,1
PG118,GDTC: Thể dục cơ bản,9.0,1
PG120,Thể dục cơ bản nâng cao,5.9,1
SH131,Pháp luật đại cương,6.8,2
VL101,Tiếng Việt thực hành,6.3,2
AD215,Ứng dụng PowerPoint,-1.0,3
AD314,Nhảy hiện đại,8.0,4
CS224,Lập trình .Net,-1.0,3
