Mã HP,Tên HP,Điểm,Số TC
CS100,Tin đại cương,5.0,2
CS121,Ngôn ngữ lập trình,5.0,3
CS122,Lập trình hướng đối tượng,3.8,3
EC101,Kinh tế học đại cương,5.0,3
FN201A,Lý thuyết tài chính tiền tệ,-1.0,2
GE100,Tiếng Anh cho người mới bắt đầu,5.0,2
GE101A,Tiếng Anh sơ cấp 1,7.0,2
GE102A,Tiếng Anh sơ cấp 2,5.6,2
GE201A,Tiếng Anh sơ trung cấp 1,5.2,2
GE202A,Tiếng Anh sơ trung cấp 2,5.0,2
GF101,Tiếng Pháp 1,5.0,2
GF102,Tiếng Pháp 2,5.7,2
IS101,Tin văn phòng,5.5,3
MA102,Toán cơ sở,5.0,3
ML111,Triết học Mác – Lênin,6.5,2
ML112,Kinh tế chính trị và CNXH khoa học,5.3,3
ML202,Tư tưởng Hồ Chí Minh,6.0,2
ML203,Đường lối cách mạng của Đảng CS Việt Nam,6.5,3
NA151,Khoa học môi trường,5.0,2
PG100,Giáo dục thể chất,6.8,4
PG121,Giáo dục quốc phòng,6.3,4
SH131,Pháp luật đại cương,5.8,2
AC201,Nguyên lý kế toán,0.0,3
AC210,Kế toán doanh nghiệp,1.0,3
AD211,Văn hóa Hà Nội,7.0,2
BA101,Quản trị học,5.0,2
BA313,Quản trị chiến lược,5.1,3
BK201,Ngân hàng thương mại 1,0.0,3
CS110,Kỹ thuật số,6.1,2
CS315,Nguyên lý hệ điều hành,5.0,3
CS324,Kỹ thuật lập trình,0.0,2
EC202,Kinh tế vi mô,5.1,2
EC203,Kinh tế vĩ mô,-1.0,2
FN211D,Nhập môn tài chính doanh nghiệp,-1.0,2
FN221,Tài chính công,0.0,2
IS201,Tin quản lý Access,5.4,3
IS222,Cơ sở dữ liệu,5.0,3
IS322,Hệ quản trị cơ sở dữ liệu,0.0,3
IS332,Phân tích thiết kế hướng đối tượng,5.5,3
IS333,Phân tích thiết kế hệ thống thông tin,1.2,2
MA142,"Đại số tuyến tính, giải tích và ứng dụng trong kinh tế",6.4,4
MA231,Xác suất thống kê ứng dụng,0.0,4
MA241,Toán tài chính,-1.0,2
MI312,Đồ họa,5.0,2
MK201,Nguyên lý marketing,5.0,2
MK311,Quản trị Marketing,7.0,3
MK312,Quản trị thương hiệu,3.5,2
PE201,Tiếng Anh trong tin học 1A,5.0,2
SE302,Công nghệ phần mềm,-1.0,2
SM201,Phương pháp luận nghiên cứu khoa học,-1.0,3
