Mã HP,Tên HP,Điểm,Số TC
CS121,Ngôn ngữ lập trình,-1.0,3
CS122,Lập trình hướng đối tượng,-1.0,3
EC101,Kinh tế học đại cương,3.4,3
EC102,Nhập môn kinh tế học,3.0,2
GE100A,Tiếng Anh cho người mới bắt đầu,6.9,0
GE101A,Tiếng Anh sơ cấp 1,6.6,2
GE102,Tiếng Anh sơ cấp 2,5.8,2
GE103,Tiếng Anh sơ cấp 3,6.4,2
GE201,Tiếng Anh sơ trung cấp 1,5.8,2
GI101,Tiếng Ý 1,1.4,2
GZ101,Tiếng Trung 1,-1.0,2
IM001,Kỹ năng CNTT cơ bản,5.0,0
IM201,Kỹ năng soạn thảo VB (MS office),4.3,3
IM203,Ứng dụng Excel,-1.0,3
MA101A,"Logic, suy luận toán học và kỹ thuật đếm",0.0,3
ML111,Triết học Mác – Lênin,5.0,2
ML112,Kinh tế chính trị và CNXH khoa học,-1.0,3
ML202,Tư tưởng Hồ Chí Minh,7.3,2
ML203,Đường lối cách mạng của Đảng CS Việt Nam,6.3,3
NA151,Khoa học môi trường,5.0,2
PG106,GDTC: Bóng bàn cơ bản,-1.0,1
PG113,GDTC: Bóng rổ cơ bản,9.0,1
PG115,GDTC: Bóng chuyền cơ bản,5.6,1
PG118,GDTC: Thể dục cơ bản,10.0,1
PG122,GDQP: Đường lối quân sự của Đảng,3.6,1
PG123,GDQP: Công tác quốc phòng - an ninh,5.3,1
PG124,GDQP: Quân sự chung,6.0,1
PG125,GDQP: Kỹ thuật bắn súng,6.0,1
SC201,Kỹ năng giao tiếp và thuyết trình,4.0,2
SH131,Pháp luật đại cương,5.0,2
VL101,Tiếng Việt thực hành,6.5,2
AD204,Ẩm thực Việt nam,8.3,4
BA102,Quản trị học đại cương,5.0,3
BA313,Quản trị chiến lược,2.0,3
MA120,Đại số tuyến tính,-1.0,3
MK202,Marketing căn bản,3.9,3
MK313,Quản trị thương hiệu,-1.0,3
MK333,Marketing dịch vụ,8.7,2
MK424,Quản trị bán hàng,-1.0,3
SM201,Phương pháp luận nghiên cứu khoa học,-1.0,3
