Mã HP,Tên HP,Điểm,Số TC
CF213,Cấu trúc dữ liệu và giải thuật,-1.0,4
CS100,Tin đại cương,2.2,2
CS110,Kỹ thuật số,6.8,2
CS121,Ngôn ngữ lập trình,4.4,3
CS122,Lập trình hướng đối tượng,2.9,3
CS212,Kiến trúc máy tính,8.5,3
EC102,Nhập môn kinh tế học,4.4,2
GE111,Tiếng Anh sơ cấp 1,3.7,2
GE112,Tiếng Anh sơ cấp 2,4.3,2
IS222,Cơ sở dữ liệu,5.1,3
MA101,"Logic, suy luận toán học và kỹ thuật đếm",3.6,3
MA104,Số và cấu trúc đại số,-1.0,3
MA120,Đại số tuyến tính,0.0,3
ML113,Triết học Mác - Lênin,7.2,3
ML114,Kinh tế chính trị Mác - Lênin,7.4,2
ML115,Chủ nghĩa xã hội khoa học,0.0,2
ML204,Lịch sử Đảng,0.0,2
SH131,Pháp luật đại cương,5.9,2
VL101,Tiếng Việt thực hành,4.9,2
