Mã HP,Tên HP,Điểm,Số TC
CF212,Cấu trúc dữ liệu,8.1,3
CS100,Tin đại cương,7.8,2
CS102,Công dân số,9.0,2
CS110,Kỹ thuật số,5.1,2
CS121,Ngôn ngữ lập trình,6.0,3
CS122,Lập trình hướng đối tượng,7.2,3
CS212,Kiến trúc máy tính,7.7,3
EC101,Kinh tế học đại cương,7.4,3
GE101,Tiếng Anh sơ cấp 1,7.1,2
GE102,Tiếng Anh sơ cấp 2,6.2,2
GE103,Tiếng Anh sơ cấp 3,7.9,2
GE201,Tiếng Anh sơ trung cấp 1,7.0,2
GE202,Tiếng Anh sơ trung cấp 2,9.0,2
GE205,Tiếng Anh sơ trung cấp 3,5.7,2
GE232,Tiếng Anh trung cấp 2,4.7,2
GE301,Tiếng Anh trung cấp 1,5.5,2
GE333,Tiếng Anh trung cấp 3,2.4,2
GF101,Tiếng Pháp 1,8.2,2
GF102,Tiếng Pháp 2,5.8,2
IS222,Cơ sở dữ liệu,5.6,3
IS314,Hệ thống thông tin,7.5,3
IS322,Hệ quản trị cơ sở dữ liệu,5.0,3
IS330,Dữ liệu lớn,9.4,2
IS334,Quản lý dự án hệ thống thông tin,7.5,3
IT320,Phát triển ứng dụng với Python,9.3,3
IT333,Công nghệ Web,7.8,3
MA101,"Logic, suy luận toán học và kỹ thuật đếm",9.0,3
MA104,Số và cấu trúc đại số,7.4,3
MA110,Giải tích 1,7.3,3
MA111,Giải tích 2,6.3,3
MA120,Đại số tuyến tính,7.4,3
MA231,Xác suất thống kê ứng dụng,6.7,4
MI201,Toán rời rạc,7.7,3
MI322,Trí tuệ nhân tạo và công nghệ tri thức,8.7,3
ML113,Triết học Mác - Lênin,8.1,3
ML114,Kinh tế chính trị Mác - Lênin,8.8,2
ML115,Chủ nghĩa xã hội khoa học,9.2,2
ML202,Tư tưởng Hồ Chí Minh,7.9,2
ML204,Lịch sử Đảng,9.4,2
NA151,Khoa học môi trường,9.2,2
NW212,Mạng máy tính,5.5,2
SE302,Công nghệ phần mềm,9.5,2
SH131,Pháp luật đại cương,6.0,2
VL101,Tiếng Việt thực hành,6.5,2
AD215,Ứng dụng PowerPoint,6.0,3
AD216,Kỹ năng sống,9.0,3
CS223,Lập trình Java,10.0,3
CS224,Lập trình .Net,5.0,3
CS314,Lập trình ứng dụng di động,6.0,2
CS315,Nguyên lý hệ điều hành,7.5,3
IP404,Thực tập ngành CNTT,0.0,2
IS332,Phân tích thiết kế hướng đối tượng,7.7,3
IT332,Internet of Things,2.6,2
IT380,Dự án Công nghệ thông tin,10.0,2
MI312,Đồ họa,8.5,2
SE487,CĐTN: Phát triển phần mềm,0.0,6
