Mã HP,Tên HP,Điểm,Số TC
CS100A,Nhập môn khoa học máy tính,5.1,2
CS121,Ngôn ngữ lập trình,4.0,3
CS122,Lập trình hướng đối tượng,5.0,3
CS212A,Kiến trúc máy tính 1,6.0,2
EC101,Kinh tế học đại cương,6.5,3
FN331A,Thị trường chứng khoán,-1.0,2
GE100,Tiếng Anh cho người mới bắt đầu,6.3,2
GE101A,Tiếng Anh sơ cấp 1,7.4,2
GE102A,Tiếng Anh sơ cấp 2,5.8,2
GE201A,Tiếng Anh sơ trung cấp 1,6.0,2
GE202A,Tiếng Anh sơ trung cấp 2,5.7,2
GF101,Tiếng Pháp 1,5.0,2
GF102,Tiếng Pháp 2,5.0,2
IS101,Tin văn phòng,0.0,3
IS223A,Cơ sở dữ liệu 2,6.0,2
IS322E,Hệ quản trị cơ sở dữ liệu,0.0,4
MA100A,Toán 1,5.0,2
MA110A,Giải tích 1A,6.5,2
MA111A,Giải tích 2A,4.0,2
MA120A,Đại số tuyến tính 1,0.0,2
ML111,Triết học Mác – Lênin,6.0,2
ML112,Kinh tế chính trị và CNXH khoa học,5.7,3
ML202,Tư tưởng Hồ Chí Minh,8.0,2
ML203,Đường lối cách mạng của Đảng CS Việt Nam,8.0,3
NA151,Khoa học môi trường,6.5,2
NW312A,Thiết kế quản trị mạng,5.3,4
NW322A,Lập trình mạng,8.0,4
PG100,Giáo dục thể chất,7.0,4
PG121,Giáo dục quốc phòng,6.5,4
SH131,Pháp luật đại cương,5.0,2
AC201,Nguyên lý kế toán,5.3,3
AC210,Kế toán doanh nghiệp,5.0,3
AD211,Văn hóa Hà Nội,6.0,2
BA101,Quản trị học,5.8,2
BK201,Ngân hàng thương mại 1,5.0,3
CF201,Lý thuyết thuật toán,5.0,3
CS110,Kỹ thuật số,6.5,2
CS212A,Kiến trúc máy tính 1,6.0,2
CS223,Lập trình Java,0.0,3
CS224,Lập trình .Net,0.0,3
CS315,Nguyên lý hệ điều hành,6.0,3
CS316,Hệ điều hành Unix,5.6,3
CS325,Lập trình PHP,6.0,3
EC202,Kinh tế vi mô,5.0,2
EC203,Kinh tế vĩ mô,5.6,2
FN211D,Nhập môn tài chính doanh nghiệp,4.0,2
FN221,Tài chính công,7.5,2
IS201,Tin quản lý Access,0.0,3
IS222,Cơ sở dữ liệu,5.3,3
IS223A,Cơ sở dữ liệu 2,6.0,2
IS322,Hệ quản trị cơ sở dữ liệu,5.0,3
IS322E,Hệ quản trị cơ sở dữ liệu,0.0,4
IS332,Phân tích thiết kế hướng đối tượng,7.2,3
IS333,Phân tích thiết kế hệ thống thông tin,5.5,2
MA110A,Giải tích 1A,6.5,2
MA111A,Giải tích 2A,4.0,2
MA120A,Đại số tuyến tính 1,0.0,2
MA142,"Đại số tuyến tính, giải tích và ứng dụng trong kinh tế",5.6,4
MA231,Xác suất thống kê ứng dụng,7.5,4
MK201,Nguyên lý marketing,6.9,2
MK312,Quản trị thương hiệu,5.8,2
NW212,Mạng máy tính,5.0,2
NW312A,Thiết kế quản trị mạng,5.3,4
NW332A,An toàn mạng,6.4,4
NW439,CĐTN: An toàn mạng,8.5,6
PE201,Tiếng Anh trong tin học 1A,6.2,2
PE302,Tiếng Anh trong tin học 1B,5.1,2
SE302,Công nghệ phần mềm,5.0,2
SE487,CĐTN: Phát triển phần mềm,-1.0,6
