Mã HP,Tên HP,Điểm,Số TC
CS100,Tin đại cương,4.0,2
CS121,Ngôn ngữ lập trình,2.0,3
EC102,Nhập môn kinh tế học,0.0,2
GE100,Tiếng Anh cho người mới bắt đầu,1.7,2
GE101A,Tiếng Anh sơ cấp 1,6.2,2
GE102A,Tiếng Anh sơ cấp 2,4.1,2
GJ101,Tiếng Nhật 1,3.2,2
MA102,Toán cơ sở,0.0,3
ML111,Triết học Mác – Lênin,4.0,2
ML112,Kinh tế chính trị và CNXH khoa học,2.0,3
ML202,Tư tưởng Hồ Chí Minh,3.0,2
NA151,Khoa học môi trường,6.2,2
PG101,GDTC: Lý thuyết,7.0,1
PG102,GDTC: Thể dục cổ truyền cơ bản,-1.0,1
PG106,GDTC: Bóng bàn cơ bản,8.5,1
PG107,GDTC: Bóng bàn nâng cao,0.0,1
PG121,Giáo dục quốc phòng,5.9,4
SH131,Pháp luật đại cương,1.8,2
VL101,Tiếng Việt thực hành,7.0,2
CS110,Kỹ thuật số,1.2,2
MA120,Đại số tuyến tính,-1.0,3
