Mã HP,Tên HP,Điểm,Số TC
CS100,Tin đại cương,5.8,2
CS121,Ngôn ngữ lập trình,4.5,3
CS122,Lập trình hướng đối tượng,6.4,3
EC102,Nhập môn kinh tế học,5.0,2
GE101,Tiếng Anh sơ cấp 1,7.9,2
GE102,Tiếng Anh sơ cấp 2,6.4,2
GE103,Tiếng Anh sơ cấp 3,6.2,2
GE201,Tiếng Anh sơ trung cấp 1,5.7,2
GE202,Tiếng Anh sơ trung cấp 2,2.8,2
GF101,Tiếng Pháp 1,1.8,2
IM001,Kỹ năng CNTT cơ bản,5.0,0
MA101,"Logic, suy luận toán học và kỹ thuật đếm",3.3,3
MA103,Số và cấu trúc đại số,2.9,2
ML111,Triết học Mác – Lênin,7.6,2
ML112,Kinh tế chính trị và CNXH khoa học,3.8,3
ML202,Tư tưởng Hồ Chí Minh,7.4,2
NA151,Khoa học môi trường,7.0,2
PG106,GDTC: Bóng bàn cơ bản,6.5,1
PG113,GDTC: Bóng rổ cơ bản,3.0,1
PG118,GDTC: Thể dục cơ bản,10.0,1
PG122,GDQP: Đường lối quân sự của Đảng,1.8,1
PG123,GDQP: Công tác quốc phòng - an ninh,2.1,1
PG124,GDQP: Quân sự chung,5.0,1
PG125,GDQP: Kỹ thuật bắn súng,5.6,1
SH131,Pháp luật đại cương,5.0,2
VL101,Tiếng Việt thực hành,5.5,2
CS110,Kỹ thuật số,1.2,2
IS222,Cơ sở dữ liệu,2.3,3
MA110,Giải tích 1,-1.0,3
MA120,Đại số tuyến tính,-1.0,3
