Mã HP,Tên HP,Điểm,Số TC
CF213,Cấu trúc dữ liệu và giải thuật,0.0,4
CS100,Tin đại cương,9.5,2
CS102,Công dân số,9.0,2
CS110,Kỹ thuật số,5.3,2
CS121,Ngôn ngữ lập trình,8.0,3
CS122,Lập trình hướng đối tượng,9.8,3
CS212,Kiến trúc máy tính,4.0,3
EC102,Nhập môn kinh tế học,4.0,2
GE111,Tiếng Anh sơ cấp 1,4.7,2
GE112,Tiếng Anh sơ cấp 2,-1.0,2
GJ101,Tiếng Nhật 1,6.3,2
GJ102,Tiếng Nhật 2,6.8,2
IS222,Cơ sở dữ liệu,7.4,3
MA101,"Logic, suy luận toán học và kỹ thuật đếm",6.2,3
MA110,Giải tích 1,8.8,3
MA111,Giải tích 2,0.0,3
MA120,Đại số tuyến tính,5.8,3
MA239,Xác suất thống kê,8.1,4
MI201,Toán rời rạc,6.8,3
ML113,Triết học Mác - Lênin,9.4,3
ML114,Kinh tế chính trị Mác - Lênin,8.5,2
ML115,Chủ nghĩa xã hội khoa học,9.2,2
ML202,Tư tưởng Hồ Chí Minh,0.0,2
ML204,Lịch sử Đảng,8.9,2
NW212,Mạng máy tính,0.0,2
PG106,GDTC: Bóng bàn cơ bản,0.0,1
PG113,GDTC: Bóng rổ cơ bản,6.2,1
PG115,GDTC: Bóng chuyền cơ bản,6.6,1
PG118,GDTC: Thể dục cơ bản,7.9,1
SH131,Pháp luật đại cương,8.4,2
VL101,Tiếng Việt thực hành,8.5,2
IS326,Khai phá dữ liệu,0.0,3
