Mã HP,Tên HP,Điểm,Số TC
CF212,Cấu trúc dữ liệu,5.0,3
CS100,Tin đại cương,6.4,2
CS102,Công dân số,7.9,2
CS110,Kỹ thuật số,8.7,2
CS121,Ngôn ngữ lập trình,4.1,3
CS122,Lập trình hướng đối tượng,2.4,3
CS212,Kiến trúc máy tính,4.0,3
EC102,Nhập môn kinh tế học,4.6,2
GE101,Tiếng Anh sơ cấp 1,6.1,2
GE102,Tiếng Anh sơ cấp 2,5.1,2
GE103,Tiếng Anh sơ cấp 3,4.5,2
GE201,Tiếng Anh sơ trung cấp 1,3.9,2
GE222,Tiếng Anh sơ trung cấp 2,0.0,2
GZ101,Tiếng Trung 1,4.8,2
GZ102,Tiếng Trung 2,3.7,2
IS222,Cơ sở dữ liệu,2.6,3
IS314,Hệ thống thông tin,0.0,3
IS322,Hệ quản trị cơ sở dữ liệu,0.0,3
MA101,"Logic, suy luận toán học và kỹ thuật đếm",7.0,3
MA104,Số và cấu trúc đại số,4.5,3
MA110,Giải tích 1,5.2,3
MA111,Giải tích 2,3.7,3
MA120,Đại số tuyến tính,6.2,3
MA239,Xác suất thống kê,0.0,4
MI201,Toán rời rạc,4.7,3
ML113,Triết học Mác - Lênin,9.6,3
ML114,Kinh tế chính trị Mác - Lênin,8.2,2
ML115,Chủ nghĩa xã hội khoa học,8.2,2
ML202,Tư tưởng Hồ Chí Minh,8.1,2
ML204,Lịch sử Đảng,7.0,2
NA151,Khoa học môi trường,8.6,2
NW212,Mạng máy tính,0.0,2
PG102,GDTC: Thể dục cổ truyền cơ bản,6.4,1
PG113,GDTC: Bóng rổ cơ bản,5.3,1
PG118,GDTC: Thể dục cơ bản,7.6,1
PG120,Thể dục cơ bản nâng cao,0.0,1
SH131,Pháp luật đại cương,8.3,2
VL101,Tiếng Việt thực hành,8.4,2
AD241,Dẫn chương trình (MC),8.9,3
AD314,Nhảy hiện đại,8.5,4
CS315,Nguyên lý hệ điều hành,5.7,3
IM206,ứng dụng Excel,-1.0,2
