Mã HP,Tên HP,Điểm,Số TC
CS100,Tin đại cương,5.6,2
CS101,Công dân số,8.8,2
CS121,Ngôn ngữ lập trình,7.4,3
CS122,Lập trình hướng đối tượng,5.0,3
EC102,Nhập môn kinh tế học,2.6,2
GE101,Tiếng Anh sơ cấp 1,6.6,2
GE102,Tiếng Anh sơ cấp 2,4.3,2
GE103,Tiếng Anh sơ cấp 3,6.8,2
GE201,Tiếng Anh sơ trung cấp 1,5.7,2
GE202,Tiếng Anh sơ trung cấp 2,6.5,2
GE205,Tiếng Anh sơ trung cấp 3,-1.0,2
GF101,Tiếng Pháp 1,1.7,2
GF102,Tiếng Pháp 2,-1.0,2
MA101,"Logic, suy luận toán học và kỹ thuật đếm",5.0,3
ML113,Triết học Mác - Lênin,10.0,3
ML114,Kinh tế chính trị Mác - Lênin,8.8,2
ML115,Chủ nghĩa xã hội khoa học,7.4,2
ML202,Tư tưởng Hồ Chí Minh,7.8,2
ML204,Lịch sử Đảng,-1.0,2
NA151,Khoa học môi trường,3.4,2
PG102,GDTC: Thể dục cổ truyền cơ bản,-1.0,1
PG121,Giáo dục quốc phòng,6.2,4
SH131,Pháp luật đại cương,6.8,2
AD216,Kỹ năng sống,3.2,3
AD243,Hội họa cơ bản,2.4,3
CF212,Cấu trúc dữ liệu,5.1,3
CS110,Kỹ thuật số,7.1,2
CS212,Kiến trúc máy tính,8.2,3
IS222,Cơ sở dữ liệu,4.8,3
MA120,Đại số tuyến tính,-1.0,3
MI201,Toán rời rạc,6.5,3
NW212,Mạng máy tính,-1.0,2
