Mã HP,Tên HP,Điểm,Số TC
CS100,Tin đại cương,6.2,2
CS102,Công dân số,8.7,2
CS121,Ngôn ngữ lập trình,10.0,3
CS122,Lập trình hướng đối tượng,6.9,3
EC102,Nhập môn kinh tế học,6.6,2
GE101,Tiếng Anh sơ cấp 1,6.9,2
GE102,Tiếng Anh sơ cấp 2,7.0,2
GE103,Tiếng Anh sơ cấp 3,7.8,2
GE201,Tiếng Anh sơ trung cấp 1,8.6,2
GE202,Tiếng Anh sơ trung cấp 2,8.8,2
GE205,Tiếng Anh sơ trung cấp 3,5.5,2
GE301,Tiếng Anh trung cấp 1,5.4,2
GE303,Tiếng Anh trung cấp 2,5.5,2
GE305,Tiếng Anh trung cấp 3,5.9,2
GJ101,Tiếng Nhật 1,9.8,2
GJ102,Tiếng Nhật 2,9.9,2
IS317,Hạ tầng công nghệ thông tin,9.3,2
IS325,Cơ sở dữ liệu phân tán,6.9,2
MA101,"Logic, suy luận toán học và kỹ thuật đếm",9.2,3
MA104,Số và cấu trúc đại số,10.0,3
MI322,Trí tuệ nhân tạo và công nghệ tri thức,8.1,3
ML113,Triết học Mác - Lênin,10.0,3
ML114,Kinh tế chính trị Mác - Lênin,9.8,2
ML115,Chủ nghĩa xã hội khoa học,9.8,2
ML202,Tư tưởng Hồ Chí Minh,10.0,2
ML204,Lịch sử Đảng,10.0,2
NA151,Khoa học môi trường,9.0,2
PG100,Giáo dục thể chất,7.1,4
PG121,Giáo dục quốc phòng,6.5,4
SC201,Kỹ năng giao tiếp và thuyết trình,10.0,2
SE312,Kiểm thử và đảm bảo chất lượng phần mềm,10.0,3
SH131,Pháp luật đại cương,8.1,2
ST450,Toeic,4.4,3
VL101,Tiếng Việt thực hành,9.7,2
AD213,Hát – Nhạc,8.5,3
AD216,Kỹ năng sống,9.8,3
CF212,Cấu trúc dữ liệu,8.3,3
CS110,Kỹ thuật số,8.7,2
CS212,Kiến trúc máy tính,7.4,3
CS315,Nguyên lý hệ điều hành,8.5,3
IM206,ứng dụng Excel,7.8,2
IP403,Thực tập ngành Hệ thống thông tin,9.2,2
IS222,Cơ sở dữ liệu,6.9,3
IS314,Hệ thống thông tin,8.2,3
IS315,Mô hình hóa quy trình nghiệp vụ,9.1,2
IS322,Hệ quản trị cơ sở dữ liệu,6.1,3
IS326,Khai phá dữ liệu,6.9,3
IS327,Kho dữ liệu,2.7,3
IS332,Phân tích thiết kế hướng đối tượng,7.4,3
IS334,Quản lý dự án hệ thống thông tin,8.5,3
IS383,Hệ thống thông tin nâng cao,8.5,2
IS480,Kiến trúc doanh nghiệp,8.7,3
IS499,KLTN ngành Hệ thống thông tin,0.0,6
MA110,Giải tích 1,8.4,3
MA111,Giải tích 2,7.0,3
MA120,Đại số tuyến tính,8.6,3
MA231,Xác suất thống kê ứng dụng,6.9,4
MI201,Toán rời rạc,7.2,3
MI312,Đồ họa,6.2,2
NW212,Mạng máy tính,6.8,2
SE302,Công nghệ phần mềm,10.0,2
