Mã HP,Tên HP,Điểm,Số TC
CF212,Cấu trúc dữ liệu,6.7,3
CS100,Tin đại cương,6.2,2
CS102,Công dân số,4.0,2
CS110,Kỹ thuật số,6.3,2
CS121,Ngôn ngữ lập trình,3.8,3
CS122,Lập trình hướng đối tượng,6.7,3
CS212,Kiến trúc máy tính,5.7,3
EC102,Nhập môn kinh tế học,6.5,2
GE101,Tiếng Anh sơ cấp 1,7.5,2
GE102,Tiếng Anh sơ cấp 2,6.6,2
GF101,Tiếng Pháp 1,8.4,2
GF102,Tiếng Pháp 2,6.9,2
IS222,Cơ sở dữ liệu,4.0,3
IS314,Hệ thống thông tin,5.1,3
IS322,Hệ quản trị cơ sở dữ liệu,5.2,3
IS330,Dữ liệu lớn,9.2,2
IS334,Quản lý dự án hệ thống thông tin,6.7,3
IT320,Phát triển ứng dụng với Python,7.5,3
IT333,Công nghệ Web,1.8,3
MA101,"Logic, suy luận toán học và kỹ thuật đếm",5.2,3
MA104,Số và cấu trúc đại số,5.7,3
MA110,Giải tích 1,6.1,3
MA111,Giải tích 2,5.7,3
MA120,Đại số tuyến tính,6.6,3
MA231,Xác suất thống kê ứng dụng,4.4,4
MI201,Toán rời rạc,7.3,3
MI322,Trí tuệ nhân tạo và công nghệ tri thức,8.0,3
ML111,Triết học Mác – Lênin,7.4,2
ML112,Kinh tế chính trị và CNXH khoa học,9.6,3
ML202,Tư tưởng Hồ Chí Minh,8.6,2
ML204,Lịch sử Đảng,9.8,2
NA151,Khoa học môi trường,9.2,2
NW212,Mạng máy tính,5.5,2
SE302,Công nghệ phần mềm,9.1,2
SH131,Pháp luật đại cương,7.6,2
VL101,Tiếng Việt thực hành,8.0,2
AD215,Ứng dụng PowerPoint,9.5,3
AD216,Kỹ năng sống,9.0,3
CS223,Lập trình Java,7.2,3
CS314,Lập trình ứng dụng di động,6.5,2
CS315,Nguyên lý hệ điều hành,7.7,3
CS320,Học máy,8.0,3
IP404,Thực tập ngành CNTT,8.5,2
IS332,Phân tích thiết kế hướng đối tượng,7.8,3
IS484,CĐTN: Cơ sở dữ liệu,8.2,6
IT332,Internet of Things,8.0,2
IT380,Dự án Công nghệ thông tin,5.9,2
