Mã HP,Tên HP,Điểm,Số TC
CS100A,Nhập môn khoa học máy tính,6.9,2
CS121,Ngôn ngữ lập trình,4.0,3
CS122,Lập trình hướng đối tượng,0.0,3
EC102,Nhập môn kinh tế học,3.0,2
GE100,Tiếng Anh cho người mới bắt đầu,6.3,2
GE101A,Tiếng Anh sơ cấp 1,8.3,2
GE102A,Tiếng Anh sơ cấp 2,-1.0,2
GJ101,Tiếng Nhật 1,0.0,2
MA100A,Toán 1,0.0,2
ML111,Triết học Mác – Lênin,6.2,2
ML112A,Kinh tế chính trị,5.7,3
ML112B,Chủ nghĩa xã hội khoa học,-1.0,2
ML203,Đường lối cách mạng của Đảng CS Việt Nam,-1.0,3
NA151,Khoa học môi trường,7.0,2
PG101,GDTC: Lý thuyết,6.0,1
PG102,GDTC: Thể dục cổ truyền cơ bản,0.0,1
PG106,GDTC: Bóng bàn cơ bản,5.0,1
PG121,Giáo dục quốc phòng,6.0,4
SH131,Pháp luật đại cương,6.0,2
CS212A,Kiến trúc máy tính 1,-1.0,2
CS311A,Hợp ngữ,-1.0,2
MA110A,Giải tích 1A,0.0,2
MA111A,Giải tích 2A,1.3,2
MA120A,Đại số tuyến tính 1,0.0,2
MA212,Phương trình vi phân,0.4,2
MI201,Toán rời rạc,-0.7,3
TC311,Kỹ thuật truyền tin,0.0,3
