Mã HP,Tên HP,Điểm,Số TC
CS100A,Nhập môn khoa học máy tính,7.1,2
CS121,Ngôn ngữ lập trình,8.3,3
CS122,Lập trình hướng đối tượng,7.9,3
EC101,Kinh tế học đại cương,5.0,3
FN201A,Lý thuyết tài chính tiền tệ,0.0,2
GE100,Tiếng Anh cho người mới bắt đầu,5.5,2
GE101A,Tiếng Anh sơ cấp 1,7.1,2
GE102A,Tiếng Anh sơ cấp 2,5.0,2
GE201A,Tiếng Anh sơ trung cấp 1,5.0,2
GE202A,Tiếng Anh sơ trung cấp 2,2.8,2
GF101,Tiếng Pháp 1,0.0,2
GF102,Tiếng Pháp 2,0.0,2
MA100A,Toán 1,5.0,2
ML111,Triết học Mác – Lênin,5.8,2
ML112,Kinh tế chính trị và CNXH khoa học,5.7,3
ML202,Tư tưởng Hồ Chí Minh,7.7,2
ML203,Đường lối cách mạng của Đảng CS Việt Nam,7.5,3
NA151,Khoa học môi trường,6.5,2
PG101,GDTC: Lý thuyết,5.0,1
PG102,GDTC: Thể dục cổ truyền cơ bản,0.0,1
PG104,GDTC: Cầu lông cơ bản,7.0,1
PG106,GDTC: Bóng bàn cơ bản,7.0,1
PG121,Giáo dục quốc phòng,0.0,4
SH131,Pháp luật đại cương,7.5,2
AC201,Nguyên lý kế toán,0.0,3
BA101,Quản trị học,0.0,2
CF212A,Cấu trúc dữ liệu 1,7.8,2
CF212B,Cấu trúc dữ liệu 2,7.0,2
CS110,Kỹ thuật số,7.0,2
CS212A,Kiến trúc máy tính 1,5.5,2
CS315,Nguyên lý hệ điều hành,5.0,3
CS316,Hệ điều hành Unix,6.3,3
CS325,Lập trình PHP,0.0,3
EC203,Kinh tế vĩ mô,0.0,2
IS222,Cơ sở dữ liệu,5.0,3
IS223A,Cơ sở dữ liệu 2,5.0,2
IS322E,Hệ quản trị cơ sở dữ liệu,7.0,4
IS332,Phân tích thiết kế hướng đối tượng,7.0,3
IS333,Phân tích thiết kế hệ thống thông tin,10.0,2
MA110,Giải tích 1,-1.0,3
MA120A,Đại số tuyến tính 1,5.3,2
MA142,"Đại số tuyến tính, giải tích và ứng dụng trong kinh tế",-1.0,4
NW212,Mạng máy tính,5.0,2
NW312A,Thiết kế quản trị mạng,1.9,4
SE302,Công nghệ phần mềm,2.0,2
