Mã HP,Tên HP,Điểm,Số TC
CS100,Tin đại cương,4.3,2
CS121,Ngôn ngữ lập trình,-1.0,3
EC101,Kinh tế học đại cương,2.1,3
EC102,Nhập môn kinh tế học,2.5,2
GE101,Tiếng Anh sơ cấp 1,-1.0,2
GJ101,Tiếng Nhật 1,-1.0,2
GZ101,Tiếng Trung 1,-1.0,2
MA101,"Logic, suy luận toán học và kỹ thuật đếm",-1.0,3
ML113,Triết học Mác - Lênin,3.4,3
ML114,Kinh tế chính trị Mác - Lênin,3.4,2
ML115,Chủ nghĩa xã hội khoa học,3.6,2
NA151,Khoa học môi trường,3.0,2
PG102,GDTC: Thể dục cổ truyền cơ bản,-1.0,1
PG122,GDQP: Đường lối quân sự của Đảng,6.0,1
PG123,GDQP: Công tác quốc phòng - an ninh,5.0,1
PG124,GDQP: Quân sự chung,-1.0,1
PG125,GDQP: Kỹ thuật bắn súng,-1.0,1
SH131,Pháp luật đại cương,8.9,2
VL101,Tiếng Việt thực hành,-1.0,2
AD314,Nhảy hiện đại,-1.0,4
