Mã HP,Tên HP,Điểm,Số TC
CF213,Cấu trúc dữ liệu và giải thuật,-1.0,4
CS100,Tin đại cương,9.7,2
CS121,Ngôn ngữ lập trình,8.5,3
CS122,Lập trình hướng đối tượng,5.6,3
CS212,Kiến trúc máy tính,5.5,3
EC102,Nhập môn kinh tế học,5.1,2
GE111,Tiếng Anh sơ cấp 1,6.6,2
GE112,Tiếng Anh sơ cấp 2,6.2,2
GE121,Tiếng Anh sơ trung cấp 1,5.3,2
GE222,Tiếng Anh sơ trung cấp 2,-1.0,2
GF101,Tiếng Pháp 1,0.0,2
GK101,Tiếng Hàn 1,8.9,2
GK102,Tiếng Hàn 2,8.9,2
IS222,Cơ sở dữ liệu,6.3,3
MA101,"Logic, suy luận toán học và kỹ thuật đếm",8.5,3
MA110,Giải tích 1,5.5,3
MA120,Đại số tuyến tính,-1.0,3
MI201,Toán rời rạc,-1.0,3
ML113,Triết học Mác - Lênin,8.8,3
ML114,Kinh tế chính trị Mác - Lênin,7.8,2
ML115,Chủ nghĩa xã hội khoa học,8.5,2
ML204,Lịch sử Đảng,6.6,2
NA151,Khoa học môi trường,8.2,2
PG118,GDTC: Thể dục cơ bản,6.7,1
SH131,Pháp luật đại cương,8.2,2
VL101,Tiếng Việt thực hành,7.4,2
AD216,Kỹ năng sống,0.0,3
IS326,Khai phá dữ liệu,0.0,3
