Mã HP,Tên HP,Điểm,Số TC
CF212,Cấu trúc dữ liệu,10.0,3
CS100,Tin đại cương,7.8,2
CS102,Công dân số,5.4,2
CS110,Kỹ thuật số,7.4,2
CS121,Ngôn ngữ lập trình,9.2,3
CS122,Lập trình hướng đối tượng,7.4,3
CS212,Kiến trúc máy tính,9.9,3
EC102,Nhập môn kinh tế học,8.7,2
GE101,Tiếng Anh sơ cấp 1,8.5,2
GE102,Tiếng Anh sơ cấp 2,8.7,2
GE103,Tiếng Anh sơ cấp 3,7.1,2
GE201,Tiếng Anh sơ trung cấp 1,6.6,2
GE202,Tiếng Anh sơ trung cấp 2,6.8,2
GE205,Tiếng Anh sơ trung cấp 3,5.9,2
GE231,Tiếng Anh trung cấp 1,6.4,2
GE232,Tiếng Anh trung cấp 2,0.0,2
GJ101,Tiếng Nhật 1,8.8,2
GJ102,Tiếng Nhật 2,5.3,2
IS222,Cơ sở dữ liệu,9.8,3
IS314,Hệ thống thông tin,8.7,3
IS317,Hạ tầng công nghệ thông tin,9.3,2
IS322,Hệ quản trị cơ sở dữ liệu,7.3,3
IS330,Dữ liệu lớn,9.8,2
IS334,Quản lý dự án hệ thống thông tin,0.0,3
IT320,Phát triển ứng dụng với Python,0.0,3
IT333,Công nghệ Web,10.0,3
MA101,"Logic, suy luận toán học và kỹ thuật đếm",9.0,3
MA104,Số và cấu trúc đại số,5.0,3
MA110,Giải tích 1,9.5,3
MA111,Giải tích 2,6.1,3
MA120,Đại số tuyến tính,7.6,3
MA239,Xác suất thống kê,6.1,4
MI201,Toán rời rạc,7.3,3
MI322,Trí tuệ nhân tạo và công nghệ tri thức,8.5,3
ML113,Triết học Mác - Lênin,9.6,3
ML114,Kinh tế chính trị Mác - Lênin,9.0,2
ML115,Chủ nghĩa xã hội khoa học,8.2,2
ML202,Tư tưởng Hồ Chí Minh,8.7,2
ML204,Lịch sử Đảng,8.1,2
NA151,Khoa học môi trường,7.6,2
NW212,Mạng máy tính,7.4,2
SE302,Công nghệ phần mềm,9.6,2
SH131,Pháp luật đại cương,8.6,2
VL101,Tiếng Việt thực hành,9.0,2
CS314,Lập trình ứng dụng di động,10.0,2
CS315,Nguyên lý hệ điều hành,7.3,3
CS321,Nhập môn khoa học dữ liệu,9.0,2
IP404,Thực tập ngành CNTT,0.0,2
IS326,Khai phá dữ liệu,0.0,3
IS332,Phân tích thiết kế hướng đối tượng,7.1,3
IT380,Dự án Công nghệ thông tin,10.0,2
