Mã HP,Tên HP,Điểm,Số TC
CF213,Cấu trúc dữ liệu và giải thuật,-1.0,4
CS100,Tin đại cương,5.4,2
CS102,Công dân số,8.1,2
CS121,Ngôn ngữ lập trình,3.9,3
CS122,Lập trình hướng đối tượng,2.8,3
EC102,Nhập môn kinh tế học,-1.0,2
GE111,Tiếng Anh sơ cấp 1,8.1,2
GE112,Tiếng Anh sơ cấp 2,6.0,2
GE121,Tiếng Anh sơ trung cấp 1,5.9,2
GE222,Tiếng Anh sơ trung cấp 2,6.8,2
GF101,Tiếng Pháp 1,9.1,2
GF102,Tiếng Pháp 2,0.0,2
MA101,"Logic, suy luận toán học và kỹ thuật đếm",8.2,3
MA239,Xác suất thống kê,2.5,4
ML113,Triết học Mác - Lênin,9.6,3
ML114,Kinh tế chính trị Mác - Lênin,7.5,2
ML115,Chủ nghĩa xã hội khoa học,8.8,2
ML204,Lịch sử Đảng,7.9,2
NA151,Khoa học môi trường,8.3,2
PG113,GDTC: Bóng rổ cơ bản,7.9,1
PG115,GDTC: Bóng chuyền cơ bản,8.0,1
PG121,Giáo dục quốc phòng,7.5,4
SH131,Pháp luật đại cương,8.9,2
VL101,Tiếng Việt thực hành,8.7,2
AD215,Ứng dụng PowerPoint,0.0,3
CS110,Kỹ thuật số,7.1,2
IS222,Cơ sở dữ liệu,0.0,3
MA110,Giải tích 1,5.8,3
MA120,Đại số tuyến tính,5.1,3
MI201,Toán rời rạc,0.0,3
