Mã HP,Tên HP,Điểm,Số TC
CF231,Lý thuyết thông tin và mã hóa,5.0,2
CS100,Tin đại cương,6.2,2
CS121,Ngôn ngữ lập trình,7.5,3
CS122,Lập trình hướng đối tượng,5.0,3
EC102,Nhập môn kinh tế học,5.9,2
GE100,Tiếng Anh cho người mới bắt đầu,5.7,2
GE101A,Tiếng Anh sơ cấp 1,4.1,2
GE102A,Tiếng Anh sơ cấp 2,6.0,2
GE103,Tiếng Anh sơ cấp 3,5.0,2
GE201,Tiếng Anh sơ trung cấp 1,5.5,2
GE202,Tiếng Anh sơ trung cấp 2,5.5,2
GF101,Tiếng Pháp 1,6.9,2
GF102,Tiếng Pháp 2,6.4,2
IM201,Kỹ năng soạn thảo VB (MS office),8.0,3
IM203,Ứng dụng Excel,9.0,3
IP401,Thực tập ngành Khoa học máy tính,5.5,2
IS314,Hệ thống thông tin,6.4,3
MA101A,"Logic, suy luận toán học và kỹ thuật đếm",8.5,3
MA103,Số và cấu trúc đại số,5.0,2
ML111,Triết học Mác – Lênin,6.1,2
ML112,Kinh tế chính trị và CNXH khoa học,5.0,3
ML202,Tư tưởng Hồ Chí Minh,10.0,2
ML203,Đường lối cách mạng của Đảng CS Việt Nam,8.0,3
NA151,Khoa học môi trường,6.8,2
PG100,Giáo dục thể chất,7.4,4
PG121,Giáo dục quốc phòng,6.3,4
SE312,Kiểm thử và đảm bảo chất lượng phần mềm,7.5,3
SH131,Pháp luật đại cương,5.9,2
ST450,Toeic,8.3,3
VL101,Tiếng Việt thực hành,6.6,2
AD215,Ứng dụng PowerPoint,9.5,3
CF212,Cấu trúc dữ liệu,5.5,3
CF301,Ngôn ngữ hình thức và Otomat,5.6,3
CF321,Xử lý tín hiệu số,3.0,3
CS110,Kỹ thuật số,5.0,2
CS212,Kiến trúc máy tính,7.8,3
CS223,Lập trình Java,7.4,3
CS315,Nguyên lý hệ điều hành,6.9,3
CS425,Một số vấn đề hiện đại trong khoa học máy tính,6.5,2
IS222,Cơ sở dữ liệu,6.9,3
IS322,Hệ quản trị cơ sở dữ liệu,5.7,3
IS332,Phân tích thiết kế hướng đối tượng,5.3,3
IS480,Kiến trúc doanh nghiệp,2.0,3
MA110,Giải tích 1,4.6,3
MA111,Giải tích 2,5.0,3
MA120,Đại số tuyến tính,5.0,3
MA231,Xác suất thống kê ứng dụng,4.2,4
MI201,Toán rời rạc,4.0,3
MI312,Đồ họa,8.3,2
MI321,Trí tuệ nhân tạo,6.2,3
NW212,Mạng máy tính,5.3,2
SE302,Công nghệ phần mềm,5.5,2
SE380,Project,5.4,3
SE422,Quản lý dự án phần mềm,7.3,3
SM201,Phương pháp luận nghiên cứu khoa học,6.2,3
