Mã HP,Tên HP,Điểm,Số TC
CF212,Cấu trúc dữ liệu,4.2,3
CS100,Tin đại cương,6.8,2
CS102,Công dân số,8.3,2
CS110,Kỹ thuật số,10.0,2
CS121,Ngôn ngữ lập trình,7.3,3
CS122,Lập trình hướng đối tượng,6.0,3
CS212,Kiến trúc máy tính,5.7,3
EC101,Kinh tế học đại cương,0.0,3
EC102,Nhập môn kinh tế học,4.0,2
GE101,Tiếng Anh sơ cấp 1,5.2,2
GE102,Tiếng Anh sơ cấp 2,-1.0,2
GE112,Tiếng Anh sơ cấp 2,5.0,2
GE121,Tiếng Anh sơ trung cấp 1,-1.0,2
GJ101,Tiếng Nhật 1,5.5,2
GJ102,Tiếng Nhật 2,3.8,2
IS222,Cơ sở dữ liệu,7.8,3
IS314,Hệ thống thông tin,0.0,3
IS322,Hệ quản trị cơ sở dữ liệu,0.0,3
MA101,"Logic, suy luận toán học và kỹ thuật đếm",8.7,3
MA104,Số và cấu trúc đại số,4.2,3
MA110,Giải tích 1,3.9,3
MA111,Giải tích 2,6.2,3
MA120,Đại số tuyến tính,6.8,3
MA239,Xác suất thống kê,3.8,4
MI201,Toán rời rạc,5.4,3
MI322,Trí tuệ nhân tạo và công nghệ tri thức,0.0,3
ML113,Triết học Mác - Lênin,10.0,3
ML114,Kinh tế chính trị Mác - Lênin,9.2,2
ML115,Chủ nghĩa xã hội khoa học,8.4,2
ML202,Tư tưởng Hồ Chí Minh,8.6,2
ML204,Lịch sử Đảng,8.0,2
NA151,Khoa học môi trường,8.0,2
NW212,Mạng máy tính,5.9,2
SH131,Pháp luật đại cương,9.0,2
VL101,Tiếng Việt thực hành,8.6,2
AD216,Kỹ năng sống,0.0,3
AD312,Bóng đá,10.0,4
CS315,Nguyên lý hệ điều hành,5.7,3
IS332,Phân tích thiết kế hướng đối tượng,6.8,3
