Mã HP,Tên HP,Điểm,Số TC
CF212,Cấu trúc dữ liệu,3.3,3
CS100,Tin đại cương,7.0,2
CS102,Công dân số,6.6,2
CS110,Kỹ thuật số,8.2,2
CS121,Ngôn ngữ lập trình,4.4,3
CS122,Lập trình hướng đối tượng,0.0,3
CS212,Kiến trúc máy tính,5.0,3
EC102,Nhập môn kinh tế học,8.7,2
GE101,Tiếng Anh sơ cấp 1,6.4,2
GE102,Tiếng Anh sơ cấp 2,5.6,2
GE103,Tiếng Anh sơ cấp 3,4.7,2
GE201,Tiếng Anh sơ trung cấp 1,-1.0,2
GJ101,Tiếng Nhật 1,4.9,2
GJ102,Tiếng Nhật 2,3.2,2
IS222,Cơ sở dữ liệu,5.1,3
IS314,Hệ thống thông tin,0.0,3
IS322,Hệ quản trị cơ sở dữ liệu,0.0,3
IS330,Dữ liệu lớn,-1.0,2
MA101,"Logic, suy luận toán học và kỹ thuật đếm",6.6,3
MA104,Số và cấu trúc đại số,3.6,3
MA110,Giải tích 1,2.6,3
MA111,Giải tích 2,5.8,3
MA120,Đại số tuyến tính,5.9,3
MA239,Xác suất thống kê,3.8,4
MI201,Toán rời rạc,6.0,3
ML113,Triết học Mác - Lênin,9.2,3
ML114,Kinh tế chính trị Mác - Lênin,8.8,2
ML115,Chủ nghĩa xã hội khoa học,7.2,2
ML202,Tư tưởng Hồ Chí Minh,7.0,2
ML204,Lịch sử Đảng,8.2,2
NA151,Khoa học môi trường,7.9,2
NW212,Mạng máy tính,4.8,2
SH131,Pháp luật đại cương,8.9,2
VL101,Tiếng Việt thực hành,7.7,2
AD312,Bóng đá,10.0,4
CS314,Lập trình ứng dụng di động,0.0,2
CS315,Nguyên lý hệ điều hành,6.1,3
IM206,ứng dụng Excel,6.4,2
IS332,Phân tích thiết kế hướng đối tượng,0.0,3
