Mã HP,Tên HP,Điểm,Số TC
CS100,Tin đại cương,8.3,2
CS102,Công dân số,7.8,2
CS110,Kỹ thuật số,8.7,2
CS121,Ngôn ngữ lập trình,8.9,3
CS122,Lập trình hướng đối tượng,7.7,3
CS212,Kiến trúc máy tính,0.0,3
EC102,Nhập môn kinh tế học,8.5,2
GE111,Tiếng Anh sơ cấp 1,5.7,2
GE112,Tiếng Anh sơ cấp 2,5.5,2
GJ101,Tiếng Nhật 1,9.7,2
GJ102,Tiếng Nhật 2,0.0,2
IS222,Cơ sở dữ liệu,9.3,3
MA101,"Logic, suy luận toán học và kỹ thuật đếm",9.4,3
MA104,Số và cấu trúc đại số,10.0,3
MA110,Giải tích 1,10.0,3
MA111,Giải tích 2,0.0,3
MA120,Đại số tuyến tính,9.4,3
MI201,Toán rời rạc,0.0,3
ML113,Triết học Mác - Lênin,10.0,3
ML114,Kinh tế chính trị Mác - Lênin,9.0,2
ML115,Chủ nghĩa xã hội khoa học,8.7,2
ML202,Tư tưởng Hồ Chí Minh,0.0,2
ML204,Lịch sử Đảng,8.9,2
NA151,Khoa học môi trường,8.3,2
PG113,GDTC: Bóng rổ cơ bản,7.0,1
PG118,GDTC: Thể dục cơ bản,6.5,1
PG120,Thể dục cơ bản nâng cao,0.0,1
SH131,Pháp luật đại cương,9.3,2
VL101,Tiếng Việt thực hành,7.4,2
