Mã HP,Tên HP,Điểm,Số TC
CF212,Cấu trúc dữ liệu,5.2,3
CS100,Tin đại cương,5.7,2
CS102,Công dân số,5.5,2
CS110,Kỹ thuật số,6.5,2
CS121,Ngôn ngữ lập trình,4.0,3
CS122,Lập trình hướng đối tượng,5.4,3
CS212,Kiến trúc máy tính,3.0,3
EC102,Nhập môn kinh tế học,4.4,2
GE101,Tiếng Anh sơ cấp 1,3.8,2
GE102,Tiếng Anh sơ cấp 2,4.3,2
GE111,Tiếng Anh sơ cấp 1,-1.0,2
GE112,Tiếng Anh sơ cấp 2,4.3,2
GF101,Tiếng Pháp 1,6.2,2
GF102,Tiếng Pháp 2,6.4,2
GK101,Tiếng Hàn 1,5.0,2
GK102,Tiếng Hàn 2,-1.0,2
IS222,Cơ sở dữ liệu,5.8,3
IS314,Hệ thống thông tin,7.4,3
IS322,Hệ quản trị cơ sở dữ liệu,5.2,3
IS330,Dữ liệu lớn,6.7,2
IS334,Quản lý dự án hệ thống thông tin,7.4,3
MA101,"Logic, suy luận toán học và kỹ thuật đếm",5.1,3
MA104,Số và cấu trúc đại số,4.6,3
MA110,Giải tích 1,4.0,3
MA111,Giải tích 2,1.6,3
MA120,Đại số tuyến tính,2.7,3
MA231,Xác suất thống kê ứng dụng,-1.0,4
MA239,Xác suất thống kê,-1.0,4
MI201,Toán rời rạc,5.0,3
ML113,Triết học Mác - Lênin,8.2,3
ML114,Kinh tế chính trị Mác - Lênin,9.4,2
ML115,Chủ nghĩa xã hội khoa học,9.3,2
ML202,Tư tưởng Hồ Chí Minh,9.6,2
ML204,Lịch sử Đảng,9.6,2
NA151,Khoa học môi trường,8.6,2
SH131,Pháp luật đại cương,8.2,2
VL101,Tiếng Việt thực hành,8.6,2
AD215,Ứng dụng PowerPoint,6.2,3
CF211,Phân tích và thiết kế thuật toán,-1.0,2
CF301,Ngôn ngữ hình thức và Otomat,2.5,3
CS314,Lập trình ứng dụng di động,2.1,2
CS315,Nguyên lý hệ điều hành,7.1,3
CS321,Nhập môn khoa học dữ liệu,5.2,2
IM206,ứng dụng Excel,5.2,2
IS332,Phân tích thiết kế hướng đối tượng,8.0,3
MI312,Đồ họa,10.0,2
