Mã HP,Tên HP,Điểm,Số TC
CF212,Cấu trúc dữ liệu,-1.0,3
CS100,Tin đại cương,5.1,2
CS110,Kỹ thuật số,5.9,2
CS121,Ngôn ngữ lập trình,4.0,3
CS122,Lập trình hướng đối tượng,1.2,3
CS212,Kiến trúc máy tính,-1.0,3
EC101,Kinh tế học đại cương,-1.0,3
EC102,Nhập môn kinh tế học,7.4,2
GE101,Tiếng Anh sơ cấp 1,5.8,2
GE102,Tiếng Anh sơ cấp 2,2.6,2
GE103,Tiếng Anh sơ cấp 3,2.1,2
GE121,Tiếng Anh sơ trung cấp 1,2.0,2
IS222,Cơ sở dữ liệu,1.8,3
IS314,Hệ thống thông tin,1.9,3
IS322,Hệ quản trị cơ sở dữ liệu,-1.0,3
MA101,"Logic, suy luận toán học và kỹ thuật đếm",5.2,3
MA104,Số và cấu trúc đại số,2.0,3
MA110,Giải tích 1,-1.0,3
MA120,Đại số tuyến tính,4.2,3
MA231,Xác suất thống kê ứng dụng,-1.0,4
MI201,Toán rời rạc,1.2,3
ML113,Triết học Mác - Lênin,6.7,3
ML114,Kinh tế chính trị Mác - Lênin,9.4,2
ML115,Chủ nghĩa xã hội khoa học,7.1,2
ML202,Tư tưởng Hồ Chí Minh,3.2,2
ML204,Lịch sử Đảng,5.6,2
NA151,Khoa học môi trường,7.4,2
PG118,GDTC: Thể dục cơ bản,2.1,1
PG122,GDQP: Đường lối quân sự của Đảng,7.0,1
PG123,GDQP: Công tác quốc phòng - an ninh,-1.0,1
PG124,GDQP: Quân sự chung,8.0,1
PG125,GDQP: Kỹ thuật bắn súng,6.0,1
SH131,Pháp luật đại cương,6.4,2
VL101,Tiếng Việt thực hành,5.3,2
CF211,Phân tích và thiết kế thuật toán,-1.0,2
CS315,Nguyên lý hệ điều hành,-1.0,3
IS332,Phân tích thiết kế hướng đối tượng,-1.0,3
