Mã HP,Tên HP,Điểm,Số TC
CS100A,Nhập môn khoa học máy tính,8.2,2
CS121,Ngôn ngữ lập trình,6.3,3
CS122,Lập trình hướng đối tượng,5.0,3
EC101,Kinh tế học đại cương,7.0,3
FN201A,Lý thuyết tài chính tiền tệ,6.6,2
GE100,Tiếng Anh cho người mới bắt đầu,9.2,2
GE101A,Tiếng Anh sơ cấp 1,7.3,2
GE102A,Tiếng Anh sơ cấp 2,7.3,2
GE201A,Tiếng Anh sơ trung cấp 1,6.7,2
GJ101,Tiếng Nhật 1,9.5,2
GJ102,Tiếng Nhật 2,7.1,2
MA100A,Toán 1,8.0,2
ML111,Triết học Mác – Lênin,8.6,2
ML112,Kinh tế chính trị và CNXH khoa học,6.3,3
ML202,Tư tưởng Hồ Chí Minh,9.0,2
ML203,Đường lối cách mạng của Đảng CS Việt Nam,8.5,3
NA151,Khoa học môi trường,8.0,2
PG100,Giáo dục thể chất,8.5,4
PG121,Giáo dục quốc phòng,6.6,4
SH131,Pháp luật đại cương,6.0,2
AC201,Nguyên lý kế toán,10.0,3
AC210,Kế toán doanh nghiệp,8.6,3
AD211,Văn hóa Hà Nội,5.5,2
BA101,Quản trị học,6.8,2
BK201,Ngân hàng thương mại 1,5.8,3
CF201,Lý thuyết thuật toán,5.5,3
CS110,Kỹ thuật số,7.3,2
CS212A,Kiến trúc máy tính 1,6.7,2
CS212B,Kiến trúc máy tính 2,7.5,2
CS223,Lập trình Java,7.0,3
CS224,Lập trình .Net,9.5,3
CS315,Nguyên lý hệ điều hành,7.5,3
CS316,Hệ điều hành Unix,5.1,3
EC202,Kinh tế vi mô,8.6,2
EC203,Kinh tế vĩ mô,6.9,2
FN211D,Nhập môn tài chính doanh nghiệp,5.5,2
FN221,Tài chính công,8.4,2
IS222,Cơ sở dữ liệu,5.1,3
IS322,Hệ quản trị cơ sở dữ liệu,0.0,3
IS332,Phân tích thiết kế hướng đối tượng,6.0,3
IS333,Phân tích thiết kế hệ thống thông tin,6.5,2
MA110A,Giải tích 1A,5.0,2
MA111A,Giải tích 2A,5.0,2
MA120A,Đại số tuyến tính 1,5.1,2
MA212,Phương trình vi phân,5.0,2
MA222,Đại số đại cương,7.6,2
MA231,Xác suất thống kê ứng dụng,6.0,4
MI201,Toán rời rạc,4.5,3
MI312,Đồ họa,6.0,2
MK201,Nguyên lý marketing,7.2,2
NW212,Mạng máy tính,6.7,2
NW312A,Thiết kế quản trị mạng,5.8,4
NW332,An toàn mạng,7.3,3
PE201,Tiếng Anh trong tin học 1A,6.6,2
PE302,Tiếng Anh trong tin học 1B,7.4,2
PE303,Tiếng Anh trong tin học 2A,7.9,2
PE404,Tiếng Anh trong tin học 2B,7.0,2
SE302,Công nghệ phần mềm,8.0,2
