Mã HP,Tên HP,Điểm,Số TC
CS100,Tin đại cương,5.8,2
CS121,Ngôn ngữ lập trình,1.2,3
CS122,Lập trình hướng đối tượng,2.8,3
EC102,Nhập môn kinh tế học,1.5,2
GE101,Tiếng Anh sơ cấp 1,5.8,2
GE102,Tiếng Anh sơ cấp 2,-1.0,2
GZ101,Tiếng Trung 1,-1.0,2
IM001,Kỹ năng CNTT cơ bản,5.0,0
IM201,Kỹ năng soạn thảo VB (MS office),-1.0,3
MA103,Số và cấu trúc đại số,-1.0,2
MA104,Số và cấu trúc đại số,-1.0,3
ML111,Triết học Mác – Lênin,5.0,2
ML112,Kinh tế chính trị và CNXH khoa học,4.7,3
NA151,Khoa học môi trường,5.9,2
PG102,GDTC: Thể dục cổ truyền cơ bản,-1.0,1
PG115,GDTC: Bóng chuyền cơ bản,-1.0,1
PG122,GDQP: Đường lối quân sự của Đảng,-1.0,1
PG123,GDQP: Công tác quốc phòng - an ninh,-1.0,1
PG124,GDQP: Quân sự chung,6.0,1
PG125,GDQP: Kỹ thuật bắn súng,6.0,1
SH131,Pháp luật đại cương,2.4,2
VL101,Tiếng Việt thực hành,5.0,2
CF212,Cấu trúc dữ liệu,1.2,3
CS110,Kỹ thuật số,-1.0,2
MA110,Giải tích 1,-1.0,3
MA120,Đại số tuyến tính,5.0,3
