Mã HP,Tên HP,Điểm,Số TC
CS100,Tin đại cương,6.4,2
CS102,Công dân số,4.0,2
CS121,Ngôn ngữ lập trình,5.6,3
CS122,Lập trình hướng đối tượng,4.8,3
GE101,Tiếng Anh sơ cấp 1,7.7,2
GE102,Tiếng Anh sơ cấp 2,7.6,2
GE103,Tiếng Anh sơ cấp 3,6.2,2
GE201,Tiếng Anh sơ trung cấp 1,5.7,2
GE202,Tiếng Anh sơ trung cấp 2,6.7,2
GE205,Tiếng Anh sơ trung cấp 3,5.2,2
GE231,Tiếng Anh trung cấp 1,5.6,2
GE232,Tiếng Anh trung cấp 2,0.0,2
GJ101,Tiếng Nhật 1,7.4,2
GJ102,Tiếng Nhật 2,5.5,2
IS314,Hệ thống thông tin,0.0,3
MA101,"Logic, suy luận toán học và kỹ thuật đếm",6.7,3
MA104,Số và cấu trúc đại số,4.0,3
MA239,Xác suất thống kê,4.8,4
MI322,Trí tuệ nhân tạo và công nghệ tri thức,0.0,3
ML113,Triết học Mác - Lênin,9.6,3
ML114,Kinh tế chính trị Mác - Lênin,9.5,2
ML115,Chủ nghĩa xã hội khoa học,7.4,2
ML202,Tư tưởng Hồ Chí Minh,8.1,2
ML204,Lịch sử Đảng,4.0,2
NA151,Khoa học môi trường,9.0,2
PG100,Giáo dục thể chất,7.8,4
PG121,Giáo dục quốc phòng,7.0,4
SH131,Pháp luật đại cương,9.6,2
VL101,Tiếng Việt thực hành,7.3,2
AD240,Nhiếp ảnh cơ bản,8.0,3
AD241,Dẫn chương trình (MC),9.5,3
CF212,Cấu trúc dữ liệu,5.0,3
CF301,Ngôn ngữ hình thức và Otomat,0.0,3
CS110,Kỹ thuật số,8.3,2
CS212,Kiến trúc máy tính,3.2,3
CS315,Nguyên lý hệ điều hành,7.5,3
CS321,Nhập môn khoa học dữ liệu,-1.0,2
IS222,Cơ sở dữ liệu,4.0,3
IS322,Hệ quản trị cơ sở dữ liệu,7.1,3
IS332,Phân tích thiết kế hướng đối tượng,0.0,3
MA110,Giải tích 1,3.1,3
MA111,Giải tích 2,0.0,3
MA120,Đại số tuyến tính,5.7,3
MI201,Toán rời rạc,5.2,3
NW212,Mạng máy tính,4.0,2
