Mã HP,Tên HP,Điểm,Số TC
CS100,Tin đại cương,3.6,2
CS121,Ngôn ngữ lập trình,7.4,3
CS122,Lập trình hướng đối tượng,7.0,3
EC102,Nhập môn kinh tế học,5.9,2
GE100,Tiếng Anh cho người mới bắt đầu,10.0,2
GE101A,Tiếng Anh sơ cấp 1,9.8,2
GE102A,Tiếng Anh sơ cấp 2,8.5,2
GE201A,Tiếng Anh sơ trung cấp 1,7.6,2
GE202A,Tiếng Anh sơ trung cấp 2,6.8,2
GF101,Tiếng Pháp 1,-1.0,2
GI101,Tiếng Ý 1,-1.0,2
GZ101,Tiếng Trung 1,9.7,2
GZ102,Tiếng Trung 2,6.2,2
IM001,Kỹ năng CNTT cơ bản,0.0,0
IM201,Kỹ năng soạn thảo VB (MS office),-1.0,3
MA101A,"Logic, suy luận toán học và kỹ thuật đếm",7.1,3
MA103,Số và cấu trúc đại số,5.3,2
ML111,Triết học Mác – Lênin,-1.0,2
ML112,Kinh tế chính trị và CNXH khoa học,6.5,3
ML202,Tư tưởng Hồ Chí Minh,8.0,2
ML203,Đường lối cách mạng của Đảng CS Việt Nam,5.0,3
NA151,Khoa học môi trường,6.4,2
PG118,GDTC: Thể dục cơ bản,3.0,1
PG122,GDQP: Đường lối quân sự của Đảng,5.0,1
PG123,GDQP: Công tác quốc phòng - an ninh,3.0,1
PG124,GDQP: Quân sự chung,7.0,1
PG125,GDQP: Kỹ thuật bắn súng,6.0,1
SH131,Pháp luật đại cương,5.9,2
VL101,Tiếng Việt thực hành,6.9,2
AD212,Phương pháp hùng biện và các thủ thuật tranh biện,-1.0,3
CF212,Cấu trúc dữ liệu,7.8,3
CS110,Kỹ thuật số,5.0,2
CS212,Kiến trúc máy tính,9.3,3
CS315,Nguyên lý hệ điều hành,8.3,3
CS316,Hệ điều hành Unix,6.2,3
IS222,Cơ sở dữ liệu,1.5,3
IS332,Phân tích thiết kế hướng đối tượng,-1.0,3
MA110,Giải tích 1,6.9,3
MA111,Giải tích 2,5.5,3
MA120,Đại số tuyến tính,7.1,3
MA231,Xác suất thống kê ứng dụng,-1.0,4
MI201,Toán rời rạc,7.5,3
MI312,Đồ họa,3.7,2
NW212,Mạng máy tính,6.7,2
PE201,Tiếng Anh trong tin học 1A,9.0,2
PE302,Tiếng Anh trong tin học 1B,-1.0,2
SM201,Phương pháp luận nghiên cứu khoa học,7.3,3
