Mã HP,Tên HP,Điểm,Số TC
CS100,Tin đại cương,4.6,2
CS121,Ngôn ngữ lập trình,6.4,3
CS122,Lập trình hướng đối tượng,0.0,3
EC102,Nhập môn kinh tế học,0.0,2
GE111,Tiếng Anh sơ cấp 1,4.6,2
GE112,Tiếng Anh sơ cấp 2,4.7,2
GF101,Tiếng Pháp 1,0.0,2
MA101,"Logic, suy luận toán học và kỹ thuật đếm",6.1,3
ML113,Triết học Mác - Lênin,7.9,3
ML114,Kinh tế chính trị Mác - Lênin,8.2,2
ML115,Chủ nghĩa xã hội khoa học,7.8,2
ML202,Tư tưởng Hồ Chí Minh,0.0,2
ML204,Lịch sử Đảng,8.8,2
NA151,Khoa học môi trường,7.6,2
PG115,GDTC: Bóng chuyền cơ bản,5.5,1
PG118,GDTC: Thể dục cơ bản,5.9,1
PG121,Giáo dục quốc phòng,6.6,4
SH131,Pháp luật đại cương,8.0,2
VL101,Tiếng Việt thực hành,6.0,2
AD213,Hát – Nhạc,8.5,3
CS110,Kỹ thuật số,5.7,2
CS212,Kiến trúc máy tính,0.0,3
IS222,Cơ sở dữ liệu,-1.0,3
MA110,Giải tích 1,4.3,3
MA120,Đại số tuyến tính,4.0,3
MI201,Toán rời rạc,0.0,3
