Mã HP,Tên HP,Điểm,Số TC
CF213,Cấu trúc dữ liệu và giải thuật,0.0,4
CS100,Tin đại cương,3.2,2
CS121,Ngôn ngữ lập trình,6.3,3
CS122,Lập trình hướng đối tượng,9.0,3
CS212,Kiến trúc máy tính,6.5,3
GE111,Tiếng Anh sơ cấp 1,5.8,2
GE112,Tiếng Anh sơ cấp 2,4.4,2
GE121,Tiếng Anh sơ trung cấp 1,4.8,2
GJ101,Tiếng Nhật 1,0.0,2
IS222,Cơ sở dữ liệu,4.6,3
MA101,"Logic, suy luận toán học và kỹ thuật đếm",6.4,3
MA110,Giải tích 1,4.1,3
MA120,Đại số tuyến tính,3.1,3
MI201,Toán rời rạc,0.0,3
ML113,Triết học Mác - Lênin,8.9,3
ML114,Kinh tế chính trị Mác - Lênin,-1.0,2
NA151,Khoa học môi trường,7.9,2
NW212,Mạng máy tính,-1.0,2
SH131,Pháp luật đại cương,-1.0,2
VL101,Tiếng Việt thực hành,6.4,2
AI130,Nhập môn trí tuệ nhân tạo,-1.0,3
