Mã HP,Tên HP,Điểm,Số TC
CS100,Tin đại cương,8.7,2
CS102,Công dân số,7.6,2
CS121,Ngôn ngữ lập trình,9.3,3
CS122,Lập trình hướng đối tượng,4.0,3
EC102,Nhập môn kinh tế học,8.3,2
GE101,Tiếng Anh sơ cấp 1,7.9,2
GE102,Tiếng Anh sơ cấp 2,7.0,2
GE103,Tiếng Anh sơ cấp 3,10.0,2
GE201,Tiếng Anh sơ trung cấp 1,10.0,2
GE202,Tiếng Anh sơ trung cấp 2,9.0,2
GE205,Tiếng Anh sơ trung cấp 3,8.0,2
GK101,Tiếng Hàn 1,9.6,2
GZ101,Tiếng Trung 1,8.7,2
GZ102,Tiếng Trung 2,9.2,2
IM201,Kỹ năng soạn thảo VB (MS office),9.5,3
IS317,Hạ tầng công nghệ thông tin,9.3,2
IS325,Cơ sở dữ liệu phân tán,5.3,2
MA101,"Logic, suy luận toán học và kỹ thuật đếm",8.2,3
MA104,Số và cấu trúc đại số,8.7,3
ML111,Triết học Mác – Lênin,9.2,2
ML112,Kinh tế chính trị và CNXH khoa học,9.3,3
ML202,Tư tưởng Hồ Chí Minh,9.2,2
ML204,Lịch sử Đảng,8.4,2
NA151,Khoa học môi trường,9.2,2
PG100,Giáo dục thể chất,8.0,4
PG121,Giáo dục quốc phòng,6.2,4
SE312,Kiểm thử và đảm bảo chất lượng phần mềm,9.0,3
SH131,Pháp luật đại cương,7.4,2
VL101,Tiếng Việt thực hành,5.0,2
AD314,Nhảy hiện đại,7.3,4
CF212,Cấu trúc dữ liệu,6.5,3
CS110,Kỹ thuật số,8.6,2
CS212,Kiến trúc máy tính,8.6,3
CS224,Lập trình .Net,10.0,3
CS315,Nguyên lý hệ điều hành,5.1,3
IP403,Thực tập ngành Hệ thống thông tin,9.0,2
IS222,Cơ sở dữ liệu,4.1,3
IS314,Hệ thống thông tin,7.6,3
IS315,Mô hình hóa quy trình nghiệp vụ,7.8,2
IS322,Hệ quản trị cơ sở dữ liệu,7.5,3
IS326,Khai phá dữ liệu,6.2,3
IS327,Kho dữ liệu,4.0,3
IS332,Phân tích thiết kế hướng đối tượng,7.8,3
IS334,Quản lý dự án hệ thống thông tin,7.8,3
IS383,Hệ thống thông tin nâng cao,7.2,2
IS480,Kiến trúc doanh nghiệp,8.0,3
MA110,Giải tích 1,9.2,3
MA111,Giải tích 2,6.8,3
MA120,Đại số tuyến tính,8.2,3
MA231,Xác suất thống kê ứng dụng,5.1,4
MI201,Toán rời rạc,5.5,3
NW212,Mạng máy tính,5.8,2
SE302,Công nghệ phần mềm,8.0,2
SE487,CĐTN: Phát triển phần mềm,8.9,6
