Mã HP,Tên HP,Điểm,Số TC
CS100,Tin đại cương,4.2,2
CS121,Ngôn ngữ lập trình,3.7,3
CS122,Lập trình hướng đối tượng,-1.0,3
EC102,Nhập môn kinh tế học,3.8,2
GE100,Tiếng Anh cho người mới bắt đầu,5.4,2
GE101A,Tiếng Anh sơ cấp 1,6.5,2
GE102A,Tiếng Anh sơ cấp 2,5.5,2
GZ101,Tiếng Trung 1,7.1,2
IM001,Kỹ năng CNTT cơ bản,3.3,0
MA101A,"Logic, suy luận toán học và kỹ thuật đếm",2.9,3
ML111,Triết học Mác – Lênin,-1.0,2
ML112,Kinh tế chính trị và CNXH khoa học,5.8,3
NA151,Khoa học môi trường,2.1,2
PG118,GDTC: Thể dục cơ bản,8.0,1
PG122,GDQP: Đường lối quân sự của Đảng,-1.0,1
PG123,GDQP: Công tác quốc phòng - an ninh,-1.0,1
PG124,GDQP: Quân sự chung,7.0,1
PG125,GDQP: Kỹ thuật bắn súng,1.0,1
SH131,Pháp luật đại cương,6.3,2
VL101,Tiếng Việt thực hành,5.0,2
CS110,Kỹ thuật số,-1.0,2
MA110,Giải tích 1,-1.0,3
MA111,Giải tích 2,-1.0,3
MA120,Đại số tuyến tính,5.0,3
