Mã HP,Tên HP,Điểm,Số TC
CF231,Lý thuyết thông tin và mã hóa,7.8,2
CS100,Tin đại cương,5.0,2
CS121,Ngôn ngữ lập trình,6.8,3
CS122,Lập trình hướng đối tượng,5.1,3
EC102,Nhập môn kinh tế học,5.1,2
GE101,Tiếng Anh sơ cấp 1,7.6,2
GE102,Tiếng Anh sơ cấp 2,7.2,2
GE103,Tiếng Anh sơ cấp 3,10.0,2
GE201,Tiếng Anh sơ trung cấp 1,10.0,2
GE202,Tiếng Anh sơ trung cấp 2,9.0,2
GE205,Tiếng Anh sơ trung cấp 3,8.0,2
GE232,Tiếng Anh trung cấp 2,5.8,2
GE301,Tiếng Anh trung cấp 1,7.0,2
GE333,Tiếng Anh trung cấp 3,6.3,2
GF101,Tiếng Pháp 1,5.9,2
GF102,Tiếng Pháp 2,6.9,2
IM001,Kỹ năng CNTT cơ bản,5.0,0
IP401,Thực tập ngành Khoa học máy tính,9.0,2
IS314,Hệ thống thông tin,6.8,3
MA101,"Logic, suy luận toán học và kỹ thuật đếm",5.4,3
MA103,Số và cấu trúc đại số,4.0,2
MI322,Trí tuệ nhân tạo và công nghệ tri thức,8.5,3
ML111,Triết học Mác – Lênin,7.5,2
ML112,Kinh tế chính trị và CNXH khoa học,8.4,3
ML202,Tư tưởng Hồ Chí Minh,8.4,2
ML203,Đường lối cách mạng của Đảng CS Việt Nam,7.5,3
NA151,Khoa học môi trường,8.5,2
PG100,Giáo dục thể chất,7.0,4
PG121,Giáo dục quốc phòng,6.4,4
SE312,Kiểm thử và đảm bảo chất lượng phần mềm,8.6,3
SH131,Pháp luật đại cương,9.8,2
VL101,Tiếng Việt thực hành,7.1,2
AD216,Kỹ năng sống,9.8,3
AD250,Dinh dưỡng và tiết chế,9.7,3
CF212,Cấu trúc dữ liệu,5.3,3
CF301,Ngôn ngữ hình thức và Otomat,8.0,3
CS110,Kỹ thuật số,9.0,2
CS212,Kiến trúc máy tính,5.9,3
CS224,Lập trình .Net,9.5,3
CS315,Nguyên lý hệ điều hành,7.6,3
CS425,Một số vấn đề hiện đại trong khoa học máy tính,9.5,2
IS222,Cơ sở dữ liệu,6.4,3
IS322,Hệ quản trị cơ sở dữ liệu,5.6,3
IS332,Phân tích thiết kế hướng đối tượng,8.7,3
MA110,Giải tích 1,7.1,3
MA111,Giải tích 2,8.2,3
MA120,Đại số tuyến tính,8.1,3
MA231,Xác suất thống kê ứng dụng,5.9,4
MI201,Toán rời rạc,5.3,3
MI312,Đồ họa,5.3,2
NW212,Mạng máy tính,6.3,2
SE302,Công nghệ phần mềm,7.6,2
SE380,Project,7.9,3
SE422,Quản lý dự án phần mềm,7.8,3
SE487,CĐTN: Phát triển phần mềm,9.0,6
SM201,Phương pháp luận nghiên cứu khoa học,8.4,3
