Mã HP,Tên HP,Điểm,Số TC
CS100,Tin đại cương,5.5,2
CS102,Công dân số,8.5,2
CS121,Ngôn ngữ lập trình,5.5,3
CS122,Lập trình hướng đối tượng,4.7,3
EC101,Kinh tế học đại cương,6.6,3
GE101,Tiếng Anh sơ cấp 1,7.5,2
GE102,Tiếng Anh sơ cấp 2,6.5,2
GE103,Tiếng Anh sơ cấp 3,4.8,2
GE201,Tiếng Anh sơ trung cấp 1,5.3,2
GE202,Tiếng Anh sơ trung cấp 2,6.0,2
GE205,Tiếng Anh sơ trung cấp 3,5.1,2
GE231,Tiếng Anh trung cấp 1,4.7,2
GE232,Tiếng Anh trung cấp 2,0.0,2
GJ101,Tiếng Nhật 1,8.0,2
GJ102,Tiếng Nhật 2,6.5,2
MA101,"Logic, suy luận toán học và kỹ thuật đếm",6.5,3
MA104,Số và cấu trúc đại số,5.9,3
MA239,Xác suất thống kê,4.0,4
MI322,Trí tuệ nhân tạo và công nghệ tri thức,7.9,3
ML113,Triết học Mác - Lênin,9.6,3
ML114,Kinh tế chính trị Mác - Lênin,8.6,2
ML115,Chủ nghĩa xã hội khoa học,9.4,2
ML202,Tư tưởng Hồ Chí Minh,8.6,2
ML204,Lịch sử Đảng,8.1,2
NA151,Khoa học môi trường,8.4,2
PG100,Giáo dục thể chất,7.0,4
PG121,Giáo dục quốc phòng,6.8,4
SH131,Pháp luật đại cương,9.6,2
VL101,Tiếng Việt thực hành,6.3,2
AD216,Kỹ năng sống,9.5,3
AD241,Dẫn chương trình (MC),9.0,3
CF212,Cấu trúc dữ liệu,5.3,3
CS110,Kỹ thuật số,8.7,2
CS212,Kiến trúc máy tính,5.4,3
CS315,Nguyên lý hệ điều hành,8.3,3
IS222,Cơ sở dữ liệu,7.3,3
IS314,Hệ thống thông tin,8.2,3
IS322,Hệ quản trị cơ sở dữ liệu,5.5,3
IS327,Kho dữ liệu,0.0,3
IS332,Phân tích thiết kế hướng đối tượng,7.6,3
IS334,Quản lý dự án hệ thống thông tin,0.0,3
MA110,Giải tích 1,5.8,3
MA111,Giải tích 2,6.8,3
MA120,Đại số tuyến tính,6.1,3
MI201,Toán rời rạc,8.3,3
NW212,Mạng máy tính,5.9,2
SE302,Công nghệ phần mềm,0.0,2
