Mã HP,Tên HP,Điểm,Số TC
CF300,Ngôn ngữ toán học,-1.0,3
CS100,Tin đại cương,4.4,2
CS121,Ngôn ngữ lập trình,-1.0,3
CS122,Lập trình hướng đối tượng,-1.0,3
EC101,Kinh tế học đại cương,3.4,3
EC204,Kinh tế vi mô,-1.0,3
EC205,Kinh tế vĩ mô,3.4,3
GE100,Tiếng Anh cho người mới bắt đầu,8.8,2
GE101A,Tiếng Anh sơ cấp 1,8.0,2
GE102A,Tiếng Anh sơ cấp 2,8.0,2
GE203,Kỹ năng giao tiếp tiếng Anh 1,-1.0,2
GE204,Kỹ năng giao tiếp tiếng Anh 2,-1.0,2
IS223,Cơ sở dữ liệu và khai phá dữ liệu,2.1,3
IS329,Dữ liệu lớn,-1.0,3
MA101A,"Logic, suy luận toán học và kỹ thuật đếm",-1.0,3
MA103,Số và cấu trúc đại số,-1.0,2
MA213,Phương trình vi phân,4.2,3
MA215,Topology,0.0,2
MA225,Các không gian hàm và phép tính sai phân,1.6,3
MA234,Thống Kê,-1.0,2
ML111,Triết học Mác – Lênin,3.9,2
ML112,Kinh tế chính trị và CNXH khoa học,-1.0,3
NA151,Khoa học môi trường,-1.0,2
PG110,GDTC: Bơi cơ bản,-1.0,1
PG118,GDTC: Thể dục cơ bản,10.0,1
PG124,GDQP: Quân sự chung,5.6,1
PG125,GDQP: Kỹ thuật bắn súng,5.6,1
VL101,Tiếng Việt thực hành,6.2,2
MA110,Giải tích 1,3.1,3
MA111,Giải tích 2,-1.0,3
MA120,Đại số tuyến tính,0.0,3
MA230,Xác suất,2.8,3
MI201,Toán rời rạc,-1.0,3
