Mã HP,Tên HP,Điểm,Số TC
CS100,Tin đại cương,4.4,2
CS121,Ngôn ngữ lập trình,6.7,3
CS122,Lập trình hướng đối tượng,6.3,3
EC101,Kinh tế học đại cương,4.6,3
EC102,Nhập môn kinh tế học,5.4,2
GE101,Tiếng Anh sơ cấp 1,5.7,2
GE102,Tiếng Anh sơ cấp 2,5.6,2
GE103,Tiếng Anh sơ cấp 3,5.4,2
GE121,Tiếng Anh sơ trung cấp 1,3.9,2
GE201,Tiếng Anh sơ trung cấp 1,-1.0,2
GE222,Tiếng Anh sơ trung cấp 2,1.8,2
GE231,Tiếng Anh trung cấp 1,-1.0,2
GF101,Tiếng Pháp 1,5.0,2
GJ101,Tiếng Nhật 1,6.7,2
GJ102,Tiếng Nhật 2,5.1,2
IM001,Kỹ năng CNTT cơ bản,5.0,0
IM201,Kỹ năng soạn thảo VB (MS office),5.4,3
IM203,Ứng dụng Excel,6.5,3
IS317,Hạ tầng công nghệ thông tin,8.3,2
IS325,Cơ sở dữ liệu phân tán,4.7,2
MA101,"Logic, suy luận toán học và kỹ thuật đếm",7.7,3
MA103,Số và cấu trúc đại số,-1.0,2
MA104,Số và cấu trúc đại số,4.3,3
ML111,Triết học Mác – Lênin,6.3,2
ML112,Kinh tế chính trị và CNXH khoa học,5.7,3
ML202,Tư tưởng Hồ Chí Minh,7.6,2
ML203,Đường lối cách mạng của Đảng CS Việt Nam,6.0,3
ML204,Lịch sử Đảng,4.4,2
NA151,Khoa học môi trường,7.4,2
PG100,Giáo dục thể chất,6.6,4
PG121,Giáo dục quốc phòng,6.4,4
SC201,Kỹ năng giao tiếp và thuyết trình,7.8,2
SE312,Kiểm thử và đảm bảo chất lượng phần mềm,8.7,3
SH131,Pháp luật đại cương,5.5,2
VL101,Tiếng Việt thực hành,6.8,2
CF212,Cấu trúc dữ liệu,5.0,3
CS110,Kỹ thuật số,5.4,2
CS212,Kiến trúc máy tính,5.7,3
CS315,Nguyên lý hệ điều hành,7.1,3
IP403,Thực tập ngành Hệ thống thông tin,8.5,2
IS222,Cơ sở dữ liệu,8.4,3
IS314,Hệ thống thông tin,6.9,3
IS315,Mô hình hóa quy trình nghiệp vụ,7.4,2
IS322,Hệ quản trị cơ sở dữ liệu,5.5,3
IS326,Khai phá dữ liệu,5.1,3
IS327,Kho dữ liệu,5.4,3
IS332,Phân tích thiết kế hướng đối tượng,6.2,3
IS334,Quản lý dự án hệ thống thông tin,6.7,3
IS383,Hệ thống thông tin nâng cao,6.5,2
IS480,Kiến trúc doanh nghiệp,8.0,3
MA110,Giải tích 1,7.0,3
MA111,Giải tích 2,1.7,3
MA120,Đại số tuyến tính,6.3,3
MA231,Xác suất thống kê ứng dụng,4.1,4
MI201,Toán rời rạc,6.2,3
NW212,Mạng máy tính,4.2,2
SE302,Công nghệ phần mềm,7.7,2
SE487,CĐTN: Phát triển phần mềm,8.8,6
