Mã HP,Tên HP,Điểm,Số TC
CS100,Tin đại cương,7.2,2
CS102,Công dân số,8.3,2
CS121,Ngôn ngữ lập trình,5.4,3
CS122,Lập trình hướng đối tượng,5.7,3
EC102,Nhập môn kinh tế học,8.8,2
GE101,Tiếng Anh sơ cấp 1,8.1,2
GE102,Tiếng Anh sơ cấp 2,8.1,2
GE103,Tiếng Anh sơ cấp 3,7.4,2
GE201,Tiếng Anh sơ trung cấp 1,6.7,2
GE202,Tiếng Anh sơ trung cấp 2,7.1,2
GE205,Tiếng Anh sơ trung cấp 3,7.5,2
GE231,Tiếng Anh trung cấp 1,0.0,2
GZ101,Tiếng Trung 1,9.5,2
GZ102,Tiếng Trung 2,9.6,2
IS325,Cơ sở dữ liệu phân tán,7.8,2
MA101,"Logic, suy luận toán học và kỹ thuật đếm",7.5,3
MA104,Số và cấu trúc đại số,7.2,3
MA239,Xác suất thống kê,7.7,4
MI322,Trí tuệ nhân tạo và công nghệ tri thức,8.0,3
ML113,Triết học Mác - Lênin,9.9,3
ML114,Kinh tế chính trị Mác - Lênin,9.4,2
ML115,Chủ nghĩa xã hội khoa học,9.2,2
ML202,Tư tưởng Hồ Chí Minh,9.7,2
ML204,Lịch sử Đảng,8.9,2
NA151,Khoa học môi trường,8.9,2
PG100,Giáo dục thể chất,6.6,4
PG121,Giáo dục quốc phòng,6.5,4
SH131,Pháp luật đại cương,9.2,2
VL101,Tiếng Việt thực hành,8.1,2
AD215,Ứng dụng PowerPoint,8.5,3
AD216,Kỹ năng sống,10.0,3
CF212,Cấu trúc dữ liệu,4.9,3
CS110,Kỹ thuật số,8.8,2
CS212,Kiến trúc máy tính,6.6,3
CS315,Nguyên lý hệ điều hành,9.0,3
IS222,Cơ sở dữ liệu,9.9,3
IS314,Hệ thống thông tin,8.9,3
IS322,Hệ quản trị cơ sở dữ liệu,10.0,3
IS326,Khai phá dữ liệu,0.0,3
IS327,Kho dữ liệu,0.0,3
IS332,Phân tích thiết kế hướng đối tượng,8.1,3
IS334,Quản lý dự án hệ thống thông tin,0.0,3
MA110,Giải tích 1,7.9,3
MA111,Giải tích 2,6.8,3
MA120,Đại số tuyến tính,6.8,3
MI201,Toán rời rạc,9.0,3
NW212,Mạng máy tính,7.9,2
SE302,Công nghệ phần mềm,0.0,2
