Mã HP,Tên HP,Điểm,Số TC
CS100,Tin đại cương,7.2,2
CS121,Ngôn ngữ lập trình,7.6,3
CS122,Lập trình hướng đối tượng,-1.0,3
EC102,Nhập môn kinh tế học,-1.0,2
GE101,Tiếng Anh sơ cấp 1,7.8,2
GE102,Tiếng Anh sơ cấp 2,8.7,2
GJ101,Tiếng Nhật 1,9.6,2
GJ102,Tiếng Nhật 2,-1.0,2
MA101,"Logic, suy luận toán học và kỹ thuật đếm",8.4,3
MA104,Số và cấu trúc đại số,-1.0,3
ML113,Triết học Mác - Lênin,9.6,3
ML114,Kinh tế chính trị Mác - Lênin,8.7,2
ML115,Chủ nghĩa xã hội khoa học,7.9,2
ML202,Tư tưởng Hồ Chí Minh,7.1,2
ML204,Lịch sử Đảng,6.0,2
NA151,Khoa học môi trường,9.2,2
PG122,GDQP: Đường lối quân sự của Đảng,8.0,1
PG123,GDQP: Công tác quốc phòng - an ninh,2.0,1
PG124,GDQP: Quân sự chung,6.0,1
PG125,GDQP: Kỹ thuật bắn súng,5.0,1
SH131,Pháp luật đại cương,9.0,2
VL101,Tiếng Việt thực hành,7.8,2
CS110,Kỹ thuật số,9.4,2
CS212,Kiến trúc máy tính,6.9,3
IS222,Cơ sở dữ liệu,0.0,3
MA110,Giải tích 1,-1.0,3
MA120,Đại số tuyến tính,6.5,3
NW212,Mạng máy tính,-1.0,2
