Mã HP,Tên HP,Điểm,Số TC
CS100,Tin đại cương,3.8,2
CS121,Ngôn ngữ lập trình,5.0,3
CS122,Lập trình hướng đối tượng,0.0,3
EC102,Nhập môn kinh tế học,3.0,2
GE100,Tiếng Anh cho người mới bắt đầu,5.1,2
GE101A,Tiếng Anh sơ cấp 1,6.2,2
GE102A,Tiếng Anh sơ cấp 2,5.0,2
GE201A,Tiếng Anh sơ trung cấp 1,5.0,2
GE202A,Tiếng Anh sơ trung cấp 2,0.0,2
GJ101,Tiếng Nhật 1,2.8,2
MA102,Toán cơ sở,0.0,3
ML111,Triết học Mác – Lênin,4.0,2
ML112,Kinh tế chính trị và CNXH khoa học,2.7,3
ML202,Tư tưởng Hồ Chí Minh,8.0,2
NA151,Khoa học môi trường,5.0,2
PG101,GDTC: Lý thuyết,-1.0,1
PG106,GDTC: Bóng bàn cơ bản,7.5,1
PG107,GDTC: Bóng bàn nâng cao,8.0,1
PG121,Giáo dục quốc phòng,6.3,4
SH131,Pháp luật đại cương,1.2,2
VL101,Tiếng Việt thực hành,6.3,2
CS110,Kỹ thuật số,5.2,2
CS312,Lập trình hệ thống,0.0,3
MA120,Đại số tuyến tính,-1.0,3
MI201,Toán rời rạc,0.0,3
TC311,Kỹ thuật truyền tin,0.0,3
