Mã HP,Tên HP,Điểm,Số TC
CS100,Tin đại cương,7.4,2
CS110,Kỹ thuật số,-1.0,2
CS121,Ngôn ngữ lập trình,5.8,3
CS122,Lập trình hướng đối tượng,3.2,3
GE111,Tiếng Anh sơ cấp 1,8.6,2
GZ101,Tiếng Trung 1,6.7,2
GZ102,Tiếng Trung 2,0.0,2
IS222,Cơ sở dữ liệu,6.1,3
MA101,"Logic, suy luận toán học và kỹ thuật đếm",6.6,3
MA104,Số và cấu trúc đại số,4.3,3
MA120,Đại số tuyến tính,3.6,3
ML113,Triết học Mác - Lênin,8.9,3
ML114,Kinh tế chính trị Mác - Lênin,8.2,2
ML115,Chủ nghĩa xã hội khoa học,7.7,2
ML202,Tư tưởng Hồ Chí Minh,-1.0,2
ML204,Lịch sử Đảng,5.9,2
NA151,Khoa học môi trường,9.0,2
PG115,GDTC: Bóng chuyền cơ bản,7.0,1
SH131,Pháp luật đại cương,8.5,2
VL101,Tiếng Việt thực hành,7.5,2
