Mã HP,Tên HP,Điểm,Số TC
AC201,Nguyên lý kế toán,9.3,3
BA102,Quản trị học đại cương,8.0,3
BA314,Quản trị nguồn nhân lực,8.6,3
CS100,Tin đại cương,8.5,2
CS101,Công dân số,7.6,2
CS121,Ngôn ngữ lập trình,6.3,3
EC101,Kinh tế học đại cương,5.0,3
EC204,Kinh tế vi mô,5.9,3
EC205,Kinh tế vĩ mô,4.6,3
FN211,Tài chính doanh nghiệp,9.2,3
GE101,Tiếng Anh sơ cấp 1,7.5,2
GE102,Tiếng Anh sơ cấp 2,7.9,2
GE103,Tiếng Anh sơ cấp 3,7.0,2
GE201,Tiếng Anh sơ trung cấp 1,6.5,2
GK101,Tiếng Hàn 1,9.4,2
GK102,Tiếng Hàn 2,9.9,2
GZ101,Tiếng Trung 1,-1.0,2
IM206,ứng dụng Excel,9.7,2
LG201,Nguyên lý cơ bản về logistics và quản lý chuỗi cung ứng,8.9,3
LG209,Pháp luật về kinh doanh logistics và quản lý chuỗi cung ứng,8.0,3
LG219,Quản lý logistics,7.9,3
LG301,Chiến lược logistics và quản lý cung ứng,7.6,3
LG302,Logistics quốc tế,9.0,3
LG311,Marketing dịch vụ logistics,8.6,3
LG319,Các phương pháp phân tích định lượng trong logistics và Quản lý chuỗi cung ứng,6.9,3
LG330,Quản lý kho hàng,9.5,3
LG495,Thực tập tốt nghiệp ngành Logistics và Quản lý chuỗi cung ứng,8.7,3
MA101,"Logic, suy luận toán học và kỹ thuật đếm",7.2,3
MA142,"Đại số tuyến tính, giải tích và ứng dụng trong kinh tế",6.2,4
MA231,Xác suất thống kê ứng dụng,4.6,4
MK202,Marketing căn bản,5.5,3
ML111,Triết học Mác – Lênin,9.8,2
ML112,Kinh tế chính trị và CNXH khoa học,7.9,3
ML202,Tư tưởng Hồ Chí Minh,8.4,2
ML204,Lịch sử Đảng,9.4,2
NA151,Khoa học môi trường,9.0,2
PG100,Giáo dục thể chất,6.6,4
PG121,Giáo dục quốc phòng,5.9,4
SC218,Quản lý chuỗi cung ứng,8.1,3
SC219,Chuỗi cung ứng số,5.8,3
SC305,Mô phỏng Logistics và quản lý chuỗi cung ứng,8.1,3
SC321,Quản lý mua hàng,7.3,3
SC340,Quản lý bán hàng và phân phối,8.7,3
SH131,Pháp luật đại cương,7.4,2
SM202,Phương pháp nghiên cứu khoa học trong kinh tế,9.0,3
VL101,Tiếng Việt thực hành,7.8,2
AC201,Nguyên lý kế toán,9.3,3
AD215,Ứng dụng PowerPoint,6.9,3
BA102,Quản trị học đại cương,8.0,3
BA313,Quản trị chiến lược,7.7,3
BA314,Quản trị nguồn nhân lực,8.6,3
CS110,Kỹ thuật số,7.7,2
FN334,Đầu tư chứng khoán,8.3,2
IM206,ứng dụng Excel,9.7,2
MA120,Đại số tuyến tính,7.7,3
MA142,"Đại số tuyến tính, giải tích và ứng dụng trong kinh tế",6.2,4
MA231,Xác suất thống kê ứng dụng,4.6,4
MK202,Marketing căn bản,5.5,3
