Mã HP,Tên HP,Điểm,Số TC
AD213A,Hát – Nhạc,-1.0,4
CS100,Tin đại cương,5.7,2
CS121,Ngôn ngữ lập trình,3.4,3
CS122,Lập trình hướng đối tượng,-1.0,3
EC102,Nhập môn kinh tế học,-1.0,2
GE100,Tiếng Anh cho người mới bắt đầu,7.3,2
GE101A,Tiếng Anh sơ cấp 1,5.7,2
GE102A,Tiếng Anh sơ cấp 2,5.0,2
GE201A,Tiếng Anh sơ trung cấp 1,1.6,2
GE202A,Tiếng Anh sơ trung cấp 2,2.4,2
GF101,Tiếng Pháp 1,5.7,2
GF102,Tiếng Pháp 2,5.9,2
IM001,Kỹ năng CNTT cơ bản,4.3,0
MA101A,"Logic, suy luận toán học và kỹ thuật đếm",-1.0,3
ML111,Triết học Mác – Lênin,4.7,2
ML112,Kinh tế chính trị và CNXH khoa học,4.1,3
ML202,Tư tưởng Hồ Chí Minh,7.3,2
ML203,Đường lối cách mạng của Đảng CS Việt Nam,2.7,3
NA151,Khoa học môi trường,6.0,2
PG106,GDTC: Bóng bàn cơ bản,1.2,1
PG110,GDTC: Bơi cơ bản,-1.0,1
PG115,GDTC: Bóng chuyền cơ bản,1.5,1
PG122,GDQP: Đường lối quân sự của Đảng,2.0,1
PG123,GDQP: Công tác quốc phòng - an ninh,5.0,1
PG124,GDQP: Quân sự chung,7.0,1
PG125,GDQP: Kỹ thuật bắn súng,5.0,1
SH131,Pháp luật đại cương,2.4,2
VL101,Tiếng Việt thực hành,6.0,2
CF212,Cấu trúc dữ liệu,-1.0,3
CS212,Kiến trúc máy tính,-1.0,3
IS222,Cơ sở dữ liệu,-1.0,3
MA110,Giải tích 1,-1.0,3
MA120,Đại số tuyến tính,3.6,3
