Mã HP,Tên HP,Điểm,Số TC
CF212,Cấu trúc dữ liệu,4.3,3
CS100,Tin đại cương,5.7,2
CS102,Công dân số,4.6,2
CS110,Kỹ thuật số,4.9,2
CS121,Ngôn ngữ lập trình,4.4,3
CS122,Lập trình hướng đối tượng,6.0,3
CS212,Kiến trúc máy tính,4.6,3
EC101,Kinh tế học đại cương,5.6,3
EC102,Nhập môn kinh tế học,5.7,2
GE101,Tiếng Anh sơ cấp 1,6.3,2
GE102,Tiếng Anh sơ cấp 2,5.2,2
GE103,Tiếng Anh sơ cấp 3,7.0,2
GE201,Tiếng Anh sơ trung cấp 1,7.4,2
GE202,Tiếng Anh sơ trung cấp 2,6.9,2
GE205,Tiếng Anh sơ trung cấp 3,5.1,2
GE301,Tiếng Anh trung cấp 1,5.0,2
GE303,Tiếng Anh trung cấp 2,5.2,2
GE333,Tiếng Anh trung cấp 3,-1.0,2
GF101,Tiếng Pháp 1,4.8,2
GF102,Tiếng Pháp 2,6.2,2
GZ101,Tiếng Trung 1,4.9,2
GZ102,Tiếng Trung 2,2.3,2
IS222,Cơ sở dữ liệu,2.4,3
IS314,Hệ thống thông tin,8.0,3
IS322,Hệ quản trị cơ sở dữ liệu,5.4,3
IS330,Dữ liệu lớn,8.3,2
IS334,Quản lý dự án hệ thống thông tin,2.3,3
IT333,Công nghệ Web,9.0,3
MA101,"Logic, suy luận toán học và kỹ thuật đếm",4.1,3
MA104,Số và cấu trúc đại số,5.5,3
MA110,Giải tích 1,7.0,3
MA111,Giải tích 2,2.3,3
MA120,Đại số tuyến tính,5.5,3
MA231,Xác suất thống kê ứng dụng,5.3,4
MI201,Toán rời rạc,6.7,3
MI322,Trí tuệ nhân tạo và công nghệ tri thức,7.5,3
ML113,Triết học Mác - Lênin,9.9,3
ML114,Kinh tế chính trị Mác - Lênin,8.8,2
ML115,Chủ nghĩa xã hội khoa học,8.6,2
ML202,Tư tưởng Hồ Chí Minh,7.7,2
ML204,Lịch sử Đảng,6.4,2
NA151,Khoa học môi trường,8.8,2
NW212,Mạng máy tính,-1.0,2
PG106,GDTC: Bóng bàn cơ bản,7.4,1
PG115,GDTC: Bóng chuyền cơ bản,1.2,1
PG118,GDTC: Thể dục cơ bản,7.9,1
PG120,Thể dục cơ bản nâng cao,10.0,1
SE302,Công nghệ phần mềm,7.3,2
SH131,Pháp luật đại cương,8.4,2
VL101,Tiếng Việt thực hành,7.5,2
AD216,Kỹ năng sống,9.3,3
CS314,Lập trình ứng dụng di động,8.5,2
CS315,Nguyên lý hệ điều hành,7.5,3
IM206,ứng dụng Excel,8.5,2
IP404,Thực tập ngành CNTT,0.0,2
IS332,Phân tích thiết kế hướng đối tượng,7.5,3
IT332,Internet of Things,2.1,2
IT380,Dự án Công nghệ thông tin,9.0,2
