Mã HP,Tên HP,Điểm,Số TC
CS100,Tin đại cương,1.5,2
CS110,Kỹ thuật số,-1.0,2
CS121,Ngôn ngữ lập trình,1.5,3
EC101,Kinh tế học đại cương,-1.0,3
EC102,Nhập môn kinh tế học,2.4,2
GE101,Tiếng Anh sơ cấp 1,1.9,2
MA101,"Logic, suy luận toán học và kỹ thuật đếm",3.8,3
MA104,Số và cấu trúc đại số,4.0,3
MA120,Đại số tuyến tính,-1.0,3
ML113,Triết học Mác - Lênin,4.0,3
ML114,Kinh tế chính trị Mác - Lênin,8.8,2
ML115,Chủ nghĩa xã hội khoa học,3.2,2
ML202,Tư tưởng Hồ Chí Minh,2.5,2
ML204,Lịch sử Đảng,1.7,2
NA151,Khoa học môi trường,8.7,2
SH131,Pháp luật đại cương,7.4,2
AD214,Nâng cao chất lượng giọng hát,8.1,3
AD314,Nhảy hiện đại,-1.0,4
