Mã HP,Tên HP,Điểm,Số TC
CS100A,Nhập môn khoa học máy tính,7.4,2
CS121,Ngôn ngữ lập trình,6.3,3
CS122,Lập trình hướng đối tượng,7.0,3
CS212A,Kiến trúc máy tính 1,6.5,2
CS311A,Hợp ngữ,5.0,2
EC101,Kinh tế học đại cương,5.2,3
FN201A,Lý thuyết tài chính tiền tệ,5.5,2
GE100,Tiếng Anh cho người mới bắt đầu,6.9,2
GE101A,Tiếng Anh sơ cấp 1,5.0,2
GE102A,Tiếng Anh sơ cấp 2,5.3,2
GE201A,Tiếng Anh sơ trung cấp 1,5.0,2
GJ101,Tiếng Nhật 1,5.0,2
GJ102,Tiếng Nhật 2,6.3,2
IM201,Kỹ năng soạn thảo VB (MS office),7.1,3
IS101,Tin văn phòng,6.9,3
MA100A,Toán 1,5.5,2
MA110A,Giải tích 1A,7.0,2
MA111A,Giải tích 2A,5.0,2
ML111,Triết học Mác – Lênin,5.2,2
ML112,Kinh tế chính trị và CNXH khoa học,5.0,3
ML202,Tư tưởng Hồ Chí Minh,5.0,2
ML203,Đường lối cách mạng của Đảng CS Việt Nam,8.0,3
NA151,Khoa học môi trường,6.0,2
PG100,Giáo dục thể chất,5.9,4
PG121,Giáo dục quốc phòng,6.5,4
SH131,Pháp luật đại cương,5.0,2
AC201,Nguyên lý kế toán,5.0,3
AC210,Kế toán doanh nghiệp,5.0,3
AD211,Văn hóa Hà Nội,6.2,2
BA101,Quản trị học,5.0,2
BA313,Quản trị chiến lược,6.0,3
CS110,Kỹ thuật số,7.0,2
CS212A,Kiến trúc máy tính 1,6.5,2
CS224,Lập trình .Net,5.0,3
CS315,Nguyên lý hệ điều hành,6.5,3
CS316,Hệ điều hành Unix,5.3,3
CS325,Lập trình PHP,0.0,3
CS429,CĐTN: Công nghệ Java,0.0,6
EC202,Kinh tế vi mô,5.3,2
EC203,Kinh tế vĩ mô,5.4,2
FN211D,Nhập môn tài chính doanh nghiệp,5.3,2
FN221,Tài chính công,7.7,2
IS222,Cơ sở dữ liệu,5.0,3
IS322,Hệ quản trị cơ sở dữ liệu,7.4,3
IS332,Phân tích thiết kế hướng đối tượng,7.3,3
IS333,Phân tích thiết kế hệ thống thông tin,8.5,2
IS487,CĐTN: Hệ thống thông tin quản lý,7.3,6
MA110A,Giải tích 1A,7.0,2
MA111A,Giải tích 2A,5.0,2
MA142,"Đại số tuyến tính, giải tích và ứng dụng trong kinh tế",5.0,4
MA212,Phương trình vi phân,5.0,2
MA231,Xác suất thống kê ứng dụng,6.0,4
MI201,Toán rời rạc,5.8,3
MI312,Đồ họa,6.0,2
MI414,Giao diện người máy,8.0,2
MK201,Nguyên lý marketing,4.0,2
MK311,Quản trị Marketing,7.1,3
NW212,Mạng máy tính,5.0,2
PE201,Tiếng Anh trong tin học 1A,5.1,2
PE302,Tiếng Anh trong tin học 1B,5.0,2
PE303,Tiếng Anh trong tin học 2A,5.5,2
PE404,Tiếng Anh trong tin học 2B,4.1,2
SE302,Công nghệ phần mềm,6.5,2
