Mã HP,Tên HP,Điểm,Số TC
CF212,Cấu trúc dữ liệu,6.2,3
CS100,Tin đại cương,6.2,2
CS102,Công dân số,-1.0,2
CS110,Kỹ thuật số,5.7,2
CS121,Ngôn ngữ lập trình,10.0,3
CS122,Lập trình hướng đối tượng,5.1,3
CS212,Kiến trúc máy tính,3.2,3
EC101,Kinh tế học đại cương,5.9,3
GE101,Tiếng Anh sơ cấp 1,-1.0,2
GF101,Tiếng Pháp 1,7.1,2
GF102,Tiếng Pháp 2,-1.0,2
IS222,Cơ sở dữ liệu,3.6,3
IS314,Hệ thống thông tin,-1.0,3
IS322,Hệ quản trị cơ sở dữ liệu,4.7,3
IS330,Dữ liệu lớn,2.3,2
IT320,Phát triển ứng dụng với Python,6.8,3
IT333,Công nghệ Web,7.8,3
MA101,"Logic, suy luận toán học và kỹ thuật đếm",4.4,3
MA104,Số và cấu trúc đại số,4.6,3
MA110,Giải tích 1,6.2,3
MA111,Giải tích 2,-1.0,3
MA120,Đại số tuyến tính,6.5,3
MA231,Xác suất thống kê ứng dụng,5.5,4
MI201,Toán rời rạc,4.6,3
MI322,Trí tuệ nhân tạo và công nghệ tri thức,7.5,3
ML111,Triết học Mác – Lênin,6.6,2
ML112,Kinh tế chính trị và CNXH khoa học,5.9,3
ML202,Tư tưởng Hồ Chí Minh,7.2,2
ML204,Lịch sử Đảng,7.2,2
NA151,Khoa học môi trường,8.0,2
NW212,Mạng máy tính,5.8,2
PG102,GDTC: Thể dục cổ truyền cơ bản,-1.0,1
PG106,GDTC: Bóng bàn cơ bản,6.4,1
PG115,GDTC: Bóng chuyền cơ bản,7.0,1
SE302,Công nghệ phần mềm,8.1,2
SH131,Pháp luật đại cương,6.6,2
CS224,Lập trình .Net,10.0,3
CS315,Nguyên lý hệ điều hành,7.4,3
CS320,Học máy,-1.0,3
IS332,Phân tích thiết kế hướng đối tượng,5.7,3
IT332,Internet of Things,-1.0,2
SE312,Kiểm thử và đảm bảo chất lượng phần mềm,-1.0,3
